taylor_n,interval_range,count,x1_mean,x2_mean,x3_mean,x4_mean,x5_mean,x6_mean
10,0.25,100,1.0756540213452602e-9,1.0051891994953781e-9,2.573943239088605e-10,5.083697802381954e-16,2.3792803796236974e-11,9.202224171050432e-11
1,0.5,100,0.35109531036005753,0.34173018214722517,0.34104014863664517,5.993064904329036e-16,0.6537400320628541,0.728215881691628
2,0.5,100,0.5268315814203608,0.5233606778638167,0.5308679336273127,5.960725143336851e-16,0.3184425183694995,0.43020376296142876
3,0.5,100,0.07275231047082391,0.06682478367054938,0.06576487707829853,5.960725143336851e-16,0.025654775696264082,0.039601302395111684
4,0.5,100,0.20597156095983443,0.20528581618256084,0.20480114355001688,5.960725143336851e-16,0.0007646481666954571,0.0030818548248050578
5,0.5,100,0.004503546402603744,0.0034362262179796405,0.0024753933486504815,6.015139499077055e-16,7.996317889360043e-5,0.0002839364919774845
6,0.5,100,0.03140378865330265,0.0310360377984312,0.03061118133176399,5.993064904329036e-16,7.691749060139028e-6,2.755898819974696e-5
7,0.5,100,0.00035316029289229195,0.0002666068464879095,0.0001597412037490519,6.003496543685737e-16,6.422796577659259e-7,2.0994737230514624e-6
8,0.5,100,7.689163746116516e-5,5.892139458455694e-5,3.113083576585711e-5,5.994442693476189e-16,4.9232676780407206e-8,1.5549171071990151e-7
9,0.5,100,1.4052457947274494e-5,1.1179144693799013e-5,5.240854827790552e-6,6.015139499077055e-16,0.01000000340238333,0.010000009909314348
10,0.5,100,2.4275944058732107e-6,2.004450579815599e-6,8.161680450831702e-7,5.98279973808487e-16,0.01000000021686809,0.010000000605532078
