interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
0.05,1,1,1,"Number[2.4905751540588463, 0.0022713012554361127, 0.0037518443707511627, 0.003851868938636716, 0.007619075628166296, 0.20830815073088368]","[6.440487461352294, 0.012636841961267974, 0.011069885828834525, 0.004742767987050526, 0.2083081507308837, 0.007522498229781891]","[250.09719213813364, 5.147922825462932, 99.02315873052297]"
0.05,1,1,1,"Number[2.386469246233097, 0.0026812619873771296, 0.003502823664822749, 0.0038382183766692357, 0.008025145182300084, 0.2139572217202853]","[6.37061794286215, 0.011602816685622012, 0.011988168166924863, 0.00471020160864971, 0.21395722172028533, 0.007946163128358948]","[255.60569332734826, 4.761402907386516, 98.35691913473708]"
0.05,1,1,1,"Number[2.3736468329261546, 0.002510345526138446, 0.0036098091328570494, 0.0038344030318969284, 0.007848902352908062, 0.21198901728296046]","[6.792419302504194, 0.012437288390349296, 0.012088268646065112, 0.004755874065195228, 0.21198901728296052, 0.007762449543630406]","[251.90512654760863, 5.021741900753505, 102.63705167694573]"
0.05,1,1,1,"Number[2.3383427855098797, 0.0024418315886372984, 0.003744344311283463, 0.003690771252734647, 0.008071599497632108, 0.1965867281660324]","[6.534200170997648, 0.012331419139680192, 0.011770933336093886, 0.004517517828492804, 0.19658672816603243, 0.007985165458770255]","[241.35435339154944, 5.139595990489128, 101.52334606487507]"
0.05,1,1,1,"Number[2.5762178706291636, 0.002072558794993207, 0.003844165872976202, 0.003748214472142282, 0.007369208818334665, 0.20441762172351138]","[6.8180119728883835, 0.01266581649740955, 0.011165932522830201, 0.0045621821934441935, 0.2044176217235114, 0.007269951465542177]","[249.41279701000045, 5.245860310208321, 97.1748432054462]"
0.05,2,8,0,"Number[2.192646148000621 - 0.5275965863836771im, 0.002573936328481963 - 0.0020130778251386486im, 0.0037262977379822764 - 0.002972768767914841im, 0.005270502516069764 + 2.8503914018193617e-52im, 0.007943660138040496 - 2.1382117680737565e-50im, 0.20293393594380138 + 0.0im]","[6.426538478150495, 0.012325408315337846, 0.011765844715868617, 0.004916621216009998, 0.20293393594380138, 0.007989013706635163]","[249.97743351187597, 4.754581536634713, 104.17230306152845]"
0.05,2,8,0,"Number[0.8072770170984913 - 2.069323244379231im, 0.001867668311368129 - 0.010871095428239963im, 0.004144044567080108 + 0.007845059660505324im, 0.005094630838208611 - 3.587324068671532e-43im, 0.007361556626465488 + 1.793662034335766e-42im, 0.1954759260780256 + 0.0im]","[6.748704610990761, 0.011963122432580601, 0.011463641382731208, 0.004818634957446557, 0.19547592607802558, 0.007405698989433858]","[261.15070405602927, 4.827890593620013, 98.16324848685521]"
0.05,2,8,0,"Number[2.2696250528959907 + 0.5164026473246155im, 0.002464363972756496 + 0.0019142580558371841im, 0.003710879873593837 + 0.00296791209841738im, 0.005278642628272652 + 4.484155085839415e-44im, 0.007542825301625752 + 0.0im, 0.2073924587047007 + 0.0im]","[6.831406436524539, 0.012520769827692775, 0.011989371708443941, 0.004924963923674171, 0.2073924587047007, 0.00759499488070387]","[255.74237257778924, 4.98803252348954, 103.70705720898465]"
0.05,2,8,0,"Number[2.2723111653707937 - 0.4917696668200905im, 0.0022411723553523977 - 0.0017238540521287806im, 0.003931215282841964 - 0.0031368998741796534im, 0.014006751046312039 - 7.174648137343064e-43im, 0.006823754978975394 - 1.0089348943138683e-42im, 0.19596953222992733 + 0.0im]","[6.653943737848346, 0.012420575175575857, 0.011314921745979404, 0.004835279722079865, 0.1959695322299273, 0.007758386757496158]","[244.78858798377453, 4.943777646739262, 104.68224897950104]"
0.05,2,8,0,"Number[2.178491960645949 + 0.5231575411309985im, 0.0025922573946443148 + 0.002028527117292287im, 0.0036651534736118 + 0.0029190278584470502im, 0.004746242034754295 + 0.0im, 0.007654253014191506 + 3.132146144639292e-53im, 0.21492845310834358 + 0.0im]","[6.396602370311446, 0.012193534177150515, 0.011861447038589787, 0.004502525300255248, 0.21492845310834355, 0.007693468522963796]","[254.84878259652493, 4.981881558113626, 103.5699101916834]"
0.05,2,8,0,"Number[2.143479361188051 + 0.5042557238318008im, 0.0025110461256826933 + 0.0019613213964044945im, 0.0038563725869005657 + 0.0030853005351916753im, 0.004738746764932181 + 0.0im, 0.0077581697029257815 - 2.6727647100921956e-51im, 0.1956821304882092 + 0.0im]","[6.285429818456337, 0.012556411675770755, 0.011756518213373313, 0.0044986615711472815, 0.19568213048820923, 0.007798699340066131]","[242.545486841459, 5.0693083799249985, 103.07783106011195]"
