taylor_n,interval_range,count,x1_mean,x2_mean,x3_mean,x4_mean,x5_mean,x6_mean
7,0.1,100,3.199387385016155e-11,3.0736546219500025e-11,4.962088867771107e-12,4.082992061213704e-16,6.054634441156953e-8,1.6687560011640376e-7
8,0.1,100,1.663580011525316e-12,1.397520275866073e-12,4.761303628053877e-13,4.082992061213704e-16,3.3682440316637964e-9,2.058568650533637e-8
9,0.1,100,1.0009529875838358e-12,8.298849388798295e-13,1.133550827182471e-13,4.082992061213704e-16,1.3748827899864487e-10,4.739075486029154e-10
10,0.1,100,1.0901991759416578e-12,9.274306837933504e-13,3.2159988521979657e-13,4.082992061213704e-16,6.294807484589875e-12,3.980625690641689e-11
1,0.2,100,0.026027561633503747,0.022751217426415588,0.017455547851467954,4.80785198214135e-16,1.0,1.0
2,0.2,100,0.005478494679295586,0.004876664252695638,0.0024683120105221347,4.80785198214135e-16,0.03213416041871709,0.16387135674281128
3,0.2,100,0.0004296895654256305,0.00036796602550182527,0.0001204877403695017,4.80785198214135e-16,0.0027695969409244478,0.006174581670899988
4,0.2,100,3.902978711639505e-5,3.1787413799509224e-5,7.862037821867588e-6,4.80785198214135e-16,0.0002451563764837163,0.0014990433121773025
5,0.2,100,3.058079677797598e-6,2.847168181496745e-6,4.753929310949398e-7,4.80785198214135e-16,1.650278179362834e-5,5.7453073945410444e-5
6,0.2,100,2.432479423343187e-7,2.2033402328815118e-7,2.3427465148583252e-8,4.80785198214135e-16,1.171893300517576e-6,8.043688227426328e-6
7,0.2,100,1.3140245588372404e-8,1.2267630244847462e-8,1.0189742464791934e-9,4.80785198214135e-16,5.9479862061774486e-8,2.838016453504296e-7
8,0.2,100,6.753587921452657e-10,5.454405222115021e-10,4.893835111152193e-11,4.80785198214135e-16,3.295925990195331e-9,2.589764731606924e-8
9,0.2,100,2.7229312192379592e-11,2.201140605010838e-11,1.7004515618225132e-12,4.80785198214135e-16,1.3420717164790912e-10,8.580657820652995e-10
10,0.2,100,3.0022644850623904e-12,2.4986000689912832e-12,3.963839939980093e-13,4.80785198214135e-16,6.088945691006401e-12,5.486638214497159e-11
1,0.25,100,0.03988398241061283,0.0371144549942416,0.03110947653838135,4.616569563218213e-16,1.0,1.0
2,0.25,100,0.006199817136193582,0.005837546770024798,0.004086521610051746,4.706828431965463e-16,0.04329868980169561,0.1762764766639059
3,0.25,100,0.0006989210289476352,0.0006277038491629994,0.00026858093591704377,4.616569563218213e-16,0.0027054168952992163,0.007635602738104394
4,0.25,100,6.537947468792838e-5,6.643119982709903e-5,2.063078419831955e-5,4.616569563218213e-16,0.00025759090263698786,0.001554450405869644
5,0.25,100,4.885344791112157e-6,5.500708773282625e-6,1.2398266858591643e-6,4.706828431965463e-16,1.7629335596221548e-5,7.332681303322149e-5
6,0.25,100,4.3222897507754284e-7,3.9437081077614516e-7,6.417160547340651e-8,4.706828431965463e-16,1.260541704837769e-6,8.941923562281115e-6
7,0.25,100,2.455356506765067e-8,2.228282177413014e-8,2.894621683056817e-9,4.616569563218213e-16,6.493966248147934e-8,3.919588420951521e-7
8,0.25,100,1.2084232901962087e-9,1.1160510858960455e-9,1.515712960052159e-10,4.616569563218213e-16,3.6136791155734315e-9,3.090459906521387e-8
9,0.25,100,5.318534087525461e-11,5.0505312012500725e-11,8.257032706019357e-12,4.616569563218213e-16,1.4973249047580464e-10,1.21717590963781e-9
10,0.25,100,6.75671252834456e-12,6.069083986256222e-12,4.955882786431394e-13,4.616569563218213e-16,6.798246125854878e-12,6.918201056915291e-11
1,0.5,100,0.11314179330790966,0.10725780934810966,0.10366188846426022,5.682586102791269e-16,1.0,1.0
2,0.5,100,0.8207725311561622,0.7078461906486493,0.7844655695167294,5.616966122926296e-16,0.05586114100128174,0.2275325473540757
3,0.5,100,0.00929259109112815,0.008413942829626906,0.005359428245661865,5.616966122926296e-16,0.0023582703212465875,0.01909066531184456
4,0.5,100,0.0017147493381832345,0.0018271955286624834,0.0011173627512614376,5.616966122926296e-16,0.0001999301692020467,0.002695664757784297
5,0.5,100,0.0002883827440005081,0.00031439575671776416,0.00011954042354460215,5.682586102791269e-16,1.2972933236635912e-5,0.0002314680211059626
6,0.5,100,3.82589848170228e-5,4.2757251786209304e-5,1.4267283637896265e-5,5.682586102791269e-16,9.110314663812332e-7,2.1024695113954637e-5
7,0.5,100,5.812354139010317e-6,4.515693462776546e-6,1.4978564643189762e-6,5.633755773971643e-16,6.993999744138523e-8,1.3756946207684334e-6
8,0.5,100,6.406874990006976e-7,5.140083724434801e-7,1.402911057437695e-7,5.633755773971643e-16,4.387633371779089e-9,9.078012419407245e-8
9,0.5,100,6.347164140017019e-8,5.412915669451328e-8,1.2816045971978382e-8,5.682586102791269e-16,2.3203811289018743e-10,4.854058454175873e-9
10,0.5,100,5.629136776038221e-9,4.579127512574473e-9,1.0415661064954973e-9,5.616966122926296e-16,1.0630853365068833e-11,2.5519523911529394e-10
