sim_num,interval_range,taylor_n,L_num_real_solutions,L_pred_parameters,L_all_real_solutions,A_num_real_solutions,A_pred_parameters,A_all_real_solutions,sampled_parameters,offmul
1,0.1,1,1,"[6.606916591616349, 0.012927902001592197, 0.011048034347835467]","[[6.606916591616349, 0.012927902001592197, 0.011048034347835467]]",1,"[0.003778845733822922, 0.00748124676931453]","[[0.003778845733822922, 0.00748124676931453]]","[6.3857991552610365, 0.011374260775075898, 0.012588245999583842, 0.004703274220928779, 0.19546550646982186, 0.007215411078705681]","[1.096802286318633, 1.0388997830825222, 0.9379732135648599, 1.066453031400605, 0.9649923823024346, 0.9300195691140036]"
1,0.1,2,4,"[6.408956545679508, 0.012627564441966194, 0.011337153431347606]","[[0.259187684206364, 0.09476515831062277, -0.05012586362469207], [11.966283312657824, 0.020479416042270056, 0.01073792094839052], [8.959335044272317, 0.015104839214118456, 0.020314397250901273], [6.408956545679508, 0.012627564441966194, 0.011337153431347606]]",2,"[0.0046102972805725125, 0.00812733705966372]","[[0.0046102972805725125, 0.00812733705966372], [0.033241782076474276, 0.130037665270143]]","[6.3857991552610365, 0.011374260775075898, 0.012588245999583842, 0.004703274220928779, 0.19546550646982186, 0.007215411078705681]","[1.096802286318633, 1.0388997830825222, 0.9379732135648599, 1.066453031400605, 0.9649923823024346, 0.9300195691140036]"
1,0.1,3,1,"[6.388256263887151, 0.01259237382012544, 0.011370650617781636]","[[6.388256263887151, 0.01259237382012544, 0.011370650617781636]]",1,"[0.004695687104067769, 0.007164181203652853]","[[0.004695687104067769, 0.007164181203652853]]","[6.3857991552610365, 0.011374260775075898, 0.012588245999583842, 0.004703274220928779, 0.19546550646982186, 0.007215411078705681]","[1.096802286318633, 1.0388997830825222, 0.9379732135648599, 1.066453031400605, 0.9649923823024346, 0.9300195691140036]"
1,0.1,4,4,"[6.386005229739497, 0.012588591281383926, 0.011373968425053832]","[[11.203615975121814, 0.01699228054106518, 0.022009520184623856], [6.386005229739497, 0.012588591281383926, 0.011373968425053832], [0.0001965191590361035, 0.33504894943916297, -0.2435547696193006], [18.030736175850365, 0.02308058008938224, 0.011334783057028166]]",2,"[0.004702566453166663, 0.007224477820637069]","[[0.03956941735963205, 0.2029936738573693], [0.004702566453166663, 0.007224477820637069]]","[6.3857991552610365, 0.011374260775075898, 0.012588245999583842, 0.004703274220928779, 0.19546550646982186, 0.007215411078705681]","[1.096802286318633, 1.0388997830825222, 0.9379732135648599, 1.066453031400605, 0.9649923823024346, 0.9300195691140036]"
1,0.1,5,1,"[6.385813382559248, 0.012588269806912196, 0.011374240886446422]","[[6.385813382559248, 0.012588269806912196, 0.011374240886446422]]",1,"[0.004703235008645595, 0.007215015723538065]","[[0.004703235008645595, 0.007215015723538065]]","[6.3857991552610365, 0.011374260775075898, 0.012588245999583842, 0.004703274220928779, 0.19546550646982186, 0.007215411078705681]","[1.096802286318633, 1.0388997830825222, 0.9379732135648599, 1.066453031400605, 0.9649923823024346, 0.9300195691140036]"
1,0.1,6,4,"[6.385799992423933, 0.012588247399741693, 0.011374259611759419]","[[6.385799992423933, 0.012588247399741693, 0.011374259611759419], [25.197138816112417, 0.026061412586619002, 0.011477002266399678], [4.959620941506986e-17, -22.48159798241668, 18.130113454233893], [13.617285727944795, 0.01867757847541899, 0.024045854461196732]]",2,"[0.004703271447486677, 0.007215453164504879]","[[0.004703271447486677, 0.007215453164504879], [0.04669324246123562, 0.25895346771880345]]","[6.3857991552610365, 0.011374260775075898, 0.012588245999583842, 0.004703274220928779, 0.19546550646982186, 0.007215411078705681]","[1.096802286318633, 1.0388997830825222, 0.9379732135648599, 1.066453031400605, 0.9649923823024346, 0.9300195691140036]"
1,0.1,7,1,"[6.38579919829359, 0.012588246071539999, 0.011374260715431593]","[[6.38579919829359, 0.012588246071539999, 0.011374260715431593]]",1,"[0.0047032741107589085, 0.007215409538789356]","[[0.0047032741107589085, 0.007215409538789356]]","[6.3857991552610365, 0.011374260775075898, 0.012588245999583842, 0.004703274220928779, 0.19546550646982186, 0.007215411078705681]","[1.096802286318633, 1.0388997830825222, 0.9379732135648599, 1.066453031400605, 0.9649923823024346, 0.9300195691140036]"
1,0.1,8,4,"[6.385799157235487, 0.012588246002883908, 0.011374260772352216]","[[34.4139871640162, 0.029038201650881865, 0.011532127674842485], [6.385799157235487, 0.012588246002883908, 0.011374260772352216], [1.7706166604772731e-9, -0.6014506985288759, 0.5106197175456983], [16.423534700155983, 0.020290409617926206, 0.0261429998913632]]",2,"[0.004703274214518027, 0.00721541119303103]","[[0.004703274214518027, 0.00721541119303103], [0.05395055897109675, 0.2994218852713436]]","[6.3857991552610365, 0.011374260775075898, 0.012588245999583842, 0.004703274220928779, 0.19546550646982186, 0.007215411078705681]","[1.096802286318633, 1.0388997830825222, 0.9379732135648599, 1.066453031400605, 0.9649923823024346, 0.9300195691140036]"
1,0.1,9,1,"[6.385799155325655, 0.012588245999693428, 0.011374260774971562]","[[6.385799155325655, 0.012588245999693428, 0.011374260774971562]]",1,"[0.0047032742207365075, 0.007215411075062335]","[[0.0047032742207365075, 0.007215411075062335]]","[6.3857991552610365, 0.011374260775075898, 0.012588245999583842, 0.004703274220928779, 0.19546550646982186, 0.007215411078705681]","[1.096802286318633, 1.0388997830825222, 0.9379732135648599, 1.066453031400605, 0.9649923823024346, 0.9300195691140036]"
1,0.1,10,4,"[6.385799155265446, 0.01258824599959073, 0.011374260775075943]","[[19.740254514387146, 0.02186866424765842, 0.028257281823221906], [46.59218983341553, 0.03197945078899753, 0.011567267107069523], [3.6670907681579076e-9, -0.37957882736932097, 0.33199759213459623], [6.385799155265446, 0.01258824599959073, 0.011374260775075943]]",2,"[0.004703274220918987, 0.007215411078909773]","[[0.06123484108923874, 0.3271126916464444], [0.004703274220918987, 0.007215411078909773]]","[6.3857991552610365, 0.011374260775075898, 0.012588245999583842, 0.004703274220928779, 0.19546550646982186, 0.007215411078705681]","[1.096802286318633, 1.0388997830825222, 0.9379732135648599, 1.066453031400605, 0.9649923823024346, 0.9300195691140036]"
