interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
0.1,2,8,0,"Number[1.929247671790198 + 0.5428178754492848im, 0.0022909276174102374 + 0.002302920907404023im, 0.003101061848006506 + 0.0029100906130348774im, 0.0056158779273628775 - 1.0947644252537633e-47im, 0.007006009140674679 + 1.1631872018321235e-47im, 0.19073969165860258 + 0.0im]","[6.156699511350874, 0.010963137696860146, 0.012043180842573496, 0.005112111018624925, 0.19073969165860258, 0.007077463238119247]","[240.14039689539425, 4.915943670380727, 103.42573217796536]"
0.1,2,8,0,"Number[1.9387867195072868 - 0.5014137288541345im, 0.002108913234265829 - 0.002131730863661781im, 0.0031189904716522844 - 0.0029572436532506715im, 0.004674907596262232 + 1.282927060844254e-49im, 0.007928728449374482 + 0.0im, 0.197603542977075 + 0.0im]","[6.347663835037631, 0.011610562960349301, 0.012171670068449249, 0.004397432296905622, 0.19760354297707491, 0.007967006063855659]","[245.75322120765162, 4.663911936993506, 104.29623723599636]"
0.1,2,8,0,"Number[2.045789896544821 - 0.48306692429118486im, 0.001817410866152629 - 0.0018843177931686262im, 0.0035584764172133 - 0.0033379293546622795im, 0.014092948087451028 - 8.352389719038111e-53im, 0.0063387024476597355 - 4.176194859519056e-53im, 0.22250218522499748 + 0.0im]","[6.358852628263476, 0.01246681731419298, 0.011507929083354882, 0.004806289786180144, 0.22250218522499746, 0.0075197645186063575]","[225.3922474138074, 5.190830333912031, 101.30720135220969]"
0.1,2,8,0,"Number[0.8679501732147622 - 2.203768071408101im, 0.0008939560378112552 - 0.01130800942960666im, 0.003452627756428672 + 0.00747742247572493im, 0.0047681079524181805 + 0.0im, 0.008197397458764827 - 5.345529420184391e-51im, 0.20332224525862677 + 0.0im]","[7.183876276114253, 0.012863525681641605, 0.01070692343904347, 0.004534053825867861, 0.20332224525862674, 0.008235366801066115]","[274.2094525947576, 4.603584964143483, 93.90906817156858]"
0.1,2,8,0,"Number[2.1386702084566287 + 0.399320015079685im, 0.0009565489703142659 + 0.0011746745881934066im, 0.003916112332829758 + 0.0035673934058433974im, 0.005702796921606903 + 1.6815581571897805e-44im, 0.007279619632927114 - 2.5223372357846707e-44im, 0.2113983594618965 + 0.0im]","[7.052150016605421, 0.012168352076956723, 0.010459772096542917, 0.005114542666178942, 0.21139835946189656, 0.007355369494806064]","[225.54107652194898, 4.975250861987722, 108.22548551975842]"
0.1,2,8,0,"Number[2.4297642181862895 + 0.4361036330702806im, 0.0014279824734482578 + 0.0014860319520194469im, 0.0031227571212681738 + 0.002994563933497919im, 0.014175219544043766 + 2.0526832973508063e-48im, 0.006762651184840748 + 1.3684555315672042e-48im, 0.2073307697132356 + 0.0im]","[7.156826216768669, 0.012101773773564431, 0.011027322918933897, 0.004873084643628876, 0.20733076971323555, 0.007881307320497268]","[272.16128585294047, 5.099344708038211, 100.56381630985379]"
0.1,2,8,0,"Number[1.0684867033604664 + 1.996002275207089im, 0.0013186401997525542 + 0.010300036583185922im, 0.003450346669466821 - 0.007391138122611081im, 0.004507045549911165 + 0.0im, 0.007709731329553767 + 0.0im, 0.19255035564036668 + 0.0im]","[6.865434352274024, 0.012414385679687886, 0.011619157340529523, 0.004311426611828363, 0.19255035564036665, 0.007745506352461436]","[263.89755497095194, 4.726470497810435, 93.99979100597005]"
0.1,2,8,0,"Number[2.0256196456941473 - 0.5004010834292993im, 0.0021011906342507506 - 0.0020923636494657935im, 0.0029939152683684488 - 0.0028990674437521383im, 0.0128859027881438 - 2.204051907791789e-39im, 0.006482738357164146 + 2.6173116405027495e-39im, 0.20080078504432855 + 0.0im]","[6.034982074509427, 0.01258695612345488, 0.011358864686626191, 0.00513114209559945, 0.20080078504432852, 0.007344889467700253]","[257.1552907532485, 5.138512452437887, 105.45666776733906]"
0.1,2,8,0,"Number[1.2288937605208958 - 1.8745261704019116im, 0.0016302661100969398 - 0.009657948769620568im, 0.0033261584798691336 + 0.007061111034674258im, 0.0047567470134672754 + 7.006492321624085e-46im, 0.007641929446986577 - 2.3646911585481288e-45im, 0.19284171073250728 + 0.0im]","[6.070567396567655, 0.011877379168911434, 0.011184748215657653, 0.004528062646316501, 0.19284171073250733, 0.007688717551346872]","[265.6038925085461, 4.999560547550181, 92.92764955058124]"
0.1,2,8,0,"Number[1.907651077402659 + 0.5123463506695477im, 0.002264660289198218 + 0.0022565603407905008im, 0.0027253520411723254 + 0.002636729873646971im, 0.004642249267376241 + 3.4211388289180104e-49im, 0.00822352746993166 + 9.408131779524529e-49im, 0.22569863759300374 + 0.0im]","[6.601900361867153, 0.011625786944469972, 0.012682875194941993, 0.004347437449146109, 0.2256986375930038, 0.008272024214988254]","[273.7554118463675, 5.206939256447834, 107.9392899849617]"
0.1,2,8,0,"Number[2.2444577033001716 - 0.4754750418371121im, 0.0017400862061520248 - 0.0017725452727480632im, 0.003046700281515592 - 0.0029311407067963554im, 0.005291657987657565 + 0.0im, 0.007274974105436599 - 2.539126474587586e-50im, 0.21735268254422993 + 0.0im]","[6.942412683519426, 0.012228262712751937, 0.011536493066433404, 0.004878776903393686, 0.21735268254422993, 0.007340873941852437]","[266.731832485924, 5.085175827061396, 103.32001066944845]"
0.1,2,8,0,"Number[1.9980769492232224 + 0.4927595583571364im, 0.0022114562300580695 + 0.002213996141687929im, 0.003169009262860925 + 0.003051854227396104im, 0.005249687996925892 + 0.0im, 0.007773514651538709 + 0.0im, 0.1992535175150482 + 0.0im]","[6.183435376758223, 0.012860675341356292, 0.012458622904001031, 0.004890469408727857, 0.19925351751504813, 0.007821539079775758]","[243.69464575887375, 4.542856617754125, 98.67115546815177]"
0.1,2,8,0,"Number[2.1793408860150936 + 0.4848656127842253im, 0.0012986840096552118 + 0.0014904740574803893im, 0.0036384582652324504 + 0.003288824253261993im, 0.013496158561311039 + 1.401298464324817e-45im, 0.0066814769680876174 + 5.911727896370322e-46im, 0.21173125499442252 + 0.0im]","[7.248117417186061, 0.011054851168371911, 0.0109815359141808, 0.004654199158597965, 0.21173125499442264, 0.007609286596328293]","[232.02444404828123, 4.921684858615941, 105.76113690464553]"
0.1,2,8,0,"Number[1.0338266826601321 + 1.7551911240826215im, 0.001956985552151343 + 0.009963625747301445im, 0.0034452219403872876 - 0.007700920732782777im, 0.01584531657683434 + 5.605193857299268e-44im, 0.006951394714840462 + 9.178504941327552e-44im, 0.19210315286632768 + 0.0im]","[5.950472435890941, 0.01253240637889409, 0.012375391530239307, 0.004810023729671106, 0.1921031528663277, 0.008179616357983472]","[247.82956958552944, 4.649540690195088, 93.2399958906829]"
0.1,2,8,0,"Number[0.44044577836394583 - 1.706225224486259im, 0.0018343261765255752 - 0.01035148099935665im, 0.003285343612452478 + 0.00826368803623217im, 0.0126836205773969 + 4.078315292499078e-56im, 0.007056701530070787 + 0.0im, 0.1896834937329497 + 0.0im]","[6.108964045869388, 0.012502066604126113, 0.011753676074747262, 0.004929888091225763, 0.18968349373294968, 0.007762241167792681]","[255.66714677183822, 4.825387566408449, 108.38646694312797]"
0.1,2,8,0,"Number[2.192892576224022 - 0.3958936904691913im, 0.0012892479002439047 - 0.00136516468605161im, 0.003418445373551164 - 0.0032663916380172094im, 0.0054763358142010535 + 0.0im, 0.007196885911605718 - 9.521724279703447e-51im, 0.21602737533072947 + 0.0im]","[7.1020211475520085, 0.013141942402910216, 0.010984773509065777, 0.004955641786668892, 0.2160273753307295, 0.007269388128987537]","[249.538322929658, 5.086221741230366, 108.80060673722795]"
0.1,3,5,1,"Number[2.783246429257673, 0.0024779882122789977, 0.0050896122711175575, 0.004340678038794694, 0.007418181672765669, 0.1942166515220584]","[6.982171848312064, 0.011960531575786937, 0.01153271691188068, 0.004357678611357949, 0.19421665152205836, 0.007413672656272724]","[257.07382585255095, 4.625853916274847, 91.38775365668273]"
0.1,3,14,1,"Number[2.706849772774419, 0.002288277879787828, 0.005601866595978574, 0.00446700541489318, 0.00835663488168762, 0.20484439094402912]","[6.6636251185045365, 0.012519932580443312, 0.011055887445841855, 0.004486083165105046, 0.2048443909440292, 0.008350562699999156]","[234.84469198425793, 5.114025957149107, 90.89791359899284]"
0.1,3,5,1,"Number[2.5236256039574183, 0.0031638502850359304, 0.0045586827309898, 0.004337961030878424, 0.0074482501157635906, 0.21723504570191726]","[7.130045022053031, 0.011367140139172323, 0.012551780360832137, 0.004361682269441335, 0.21723504570191732, 0.00744224095857776]","[267.2307138200798, 4.982223793810601, 101.25538098862255]"
0.1,3,12,1,"Number[2.626373244238097, 0.003003350097351515, 0.0047930303935422225, 0.004838595707680094, 0.007257101270522709, 0.19017698033143526]","[6.158345868060846, 0.012120471417504714, 0.011140582294056631, 0.00486944696276955, 0.19017698033143524, 0.007246826956517441]","[263.1836718620174, 5.499922270775162, 94.49380237828593]"
0.1,3,7,1,"Number[2.7657306293734827, 0.002803745094614197, 0.004782213930703923, 0.004532285789055303, 0.00725211375178967, 0.20407874007134363]","[6.968113362792083, 0.011031935735136418, 0.011642829123843674, 0.004554584282914988, 0.20407874007134366, 0.00724699230455152]","[264.114073025255, 4.508188813680423, 93.93745109259123]"
0.1,3,22,1,"Number[2.575939521626434, 0.002787855272156489, 0.004975576276417795, 0.004646566018208635, 0.007343838575003473, 0.20041529729019025]","[6.444783473548476, 0.012328757445656972, 0.011202671604847435, 0.004675970208342029, 0.2004152972901902, 0.007335883616416436]","[254.64654753450066, 5.131016542964101, 98.57391492826784]"
0.1,3,19,1,"Number[2.6672016596885593, 0.002936790466314261, 0.005110189006004197, 0.0047955941917738705, 0.008156622047353323, 0.20110377479729566]","[6.217862850334327, 0.012793684124040592, 0.011404526468927874, 0.0048207218245768044, 0.20110377479729566, 0.008150665139328866]","[250.4076774166086, 4.57620287749585, 90.40590563290324]"
0.1,3,14,1,"Number[2.5125230700062935, 0.0025108098022860086, 0.005306670745818748, 0.005070148751130404, 0.007035893552505435, 0.22601795569651276]","[6.402864511368495, 0.012646129872542882, 0.010567762942075397, 0.0051217049462290555, 0.22601795569651273, 0.007025640646471766]","[239.76406697368594, 4.897631250646181, 104.29976267444025]"
0.1,3,3,1,"Number[2.609875500784522, 0.0032022287782874077, 0.004448973023418124, 0.005053860520613465, 0.007694378014969786, 0.20434784576236512]","[5.972450425782339, 0.01104532821902635, 0.010647790874535495, 0.005098414356671703, 0.2043478457623651, 0.007684562432526736]","[273.5658787464706, 4.977865485258561, 100.22982468972381]"
0.1,3,9,1,"Number[2.461037860593469, 0.0022324280611561794, 0.005748750468901059, 0.004578856339020164, 0.008139007877540537, 0.21922080527032678]","[6.256154336530747, 0.013228713253553421, 0.010495716753253274, 0.004608363376891358, 0.21922080527032675, 0.008130181538500189]","[227.0091478398559, 5.492308022497308, 100.47560757386402]"
0.1,3,7,1,"Number[2.5607119262417926, 0.003211963813580796, 0.005045168767263594, 0.00454887433309383, 0.007796005770946982, 0.22380030236121914]","[6.396192762516286, 0.011650629019244753, 0.011886091110507405, 0.0045719202648393095, 0.22380030236121923, 0.007790581502653831]","[241.5253677411131, 4.623462458927847, 94.41008330720568]"
0.1,3,13,1,"Number[2.4976032515331275, 0.002161677300048867, 0.005174747704212587, 0.004280424944962868, 0.007682470459344538, 0.22410335584969704]","[6.816080994370502, 0.01223938248753594, 0.01049404579745464, 0.004308788244633085, 0.22410335584969693, 0.007677097788731393]","[251.08026976667423, 4.7158773459881935, 109.1434154643904]"
0.1,3,10,1,"Number[2.4314302449706484, 0.003317602180626995, 0.004953635902550195, 0.004811502032634983, 0.007237251888641882, 0.22553372881745526]","[6.033002769004736, 0.012914129283577935, 0.011599364024528156, 0.004847090600454841, 0.22553372881745531, 0.007229407391222466]","[245.27399117966786, 4.80991230702202, 99.97550474300796]"
0.1,3,25,1,"Number[2.6899736345672096, 0.0024809743660637183, 0.005306209533555425, 0.004608149845655718, 0.0075911431555768915, 0.18747347490786906]","[6.413083344800927, 0.011333857145888759, 0.01049552681416665, 0.004633075650527847, 0.1874734749078691, 0.007583808176070165]","[239.65708414403983, 5.13081137589909, 94.70600954773136]"
0.1,3,16,1,"Number[2.3617758407486424, 0.003220918743111623, 0.004885487663834035, 0.004571062527880818, 0.0076178822556604246, 0.21811016243260203]","[6.035262311639431, 0.011817101703146534, 0.01116100060143001, 0.0046060457693383496, 0.21811016243260206, 0.007609013636288058]","[242.9235313518544, 5.344455939062958, 106.19518501062844]"
0.1,3,14,1,"Number[2.1952201968347573, 0.00402031160665108, 0.004161380723599353, 0.004919829581128949, 0.007094768377388123, 0.21309183063495857]","[6.03010388363148, 0.011104113666911296, 0.01250737465995622, 0.004973871227447719, 0.21309183063495865, 0.007082103139165173]","[264.0212976489146, 5.480493984652636, 109.76480729401726]"
0.1,3,23,1,"Number[2.516438040676949, 0.002562901818271017, 0.004970495619407581, 0.004305137257066209, 0.007856693549157334, 0.20598122111373193]","[7.0036568920201585, 0.011272410801670357, 0.01115338090286807, 0.004332574825509072, 0.205981221113732, 0.007851434369488573]","[250.47841761211725, 4.687368756679567, 107.2481686214738]"
0.1,3,27,1,"Number[2.5179340931326855, 0.0026591197967400443, 0.005511358756249091, 0.004676509969095931, 0.007432196813925102, 0.18889142688066327]","[7.202242731118482, 0.012082051349475015, 0.012206572936699226, 0.004706357200185148, 0.18889142688066327, 0.007423176999735119]","[226.80862477941787, 5.377921609554965, 98.01472317831025]"
0.1,3,7,1,"Number[2.567651226638169, 0.0028657731324183214, 0.004944060266873639, 0.004845548102633833, 0.00821662841398464, 0.21343735872527578]","[5.9536015523339545, 0.012654881178981803, 0.010514802422933135, 0.004881660095112833, 0.21343735872527586, 0.008210076036229532]","[255.19397496829853, 4.517623844717951, 99.77831144046033]"
0.1,3,23,1,"Number[2.4722947987011583, 0.0022750604221977943, 0.005595179590050674, 0.004552207492410554, 0.007295812493187772, 0.22425611704753312]","[7.041144075170527, 0.012553033659190822, 0.01131651122386332, 0.004583857806341365, 0.22425611704753312, 0.007288720335167638]","[229.63834374309877, 4.909545088830621, 103.79247706035139]"
0.1,4,64,0,"Number[1.6092666878149964 - 1.032126618356176im, 0.0005429004197244266 - 0.005011133046854621im, 0.0008869889440312355 - 0.0073821612129880655im, 0.023818536812976066 + 0.0im, 0.004406168593138459 + 0.0im, 0.21835642819425247 + 0.0im]","[6.11861443405848, 0.012066042767650218, 0.011045335624750994, 0.005040486317593677, 0.21835642819425255, 0.007445328319751588]","[270.9388707056268, 5.2656792491432975, 100.11799000208006]"
0.1,4,64,0,"Number[-0.21948622087278383 - 1.053554434350959im, -0.006784017188491088 - 0.019979068341857087im, 0.01116017935503288 + 0.011717536926782294im, 0.027104152927557783 - 4.8939783509988934e-55im, 0.003241308602972548 - 4.078315292499078e-55im, 0.20169990162690277 + 0.0im]","[6.038527725077365, 0.011149751503004757, 0.012131800273793708, 0.004380487767563601, 0.20169990162690282, 0.006961308617090956]","[229.62705158681422, 4.6098805863063355, 90.3426243128857]"
0.1,4,64,0,"Number[-0.044817484054996186 + 1.4935132408251437im, 0.00022878207288028361 - 0.02993680640965657im, 0.0009599713952076592 + 0.02053223188217937im, 0.004883784234344873 - 3.835229269763849e-93im, 0.007094816110425956 + 1.5340917079055395e-92im, 0.19640472409012516 + 0.0im]","[6.986442355710341, 0.012618852086792481, 0.010538577472776783, 0.004879420456269618, 0.1964047240901251, 0.007096221870005495]","[270.30047105127505, 5.24727803891555, 102.70469458332153]"
0.1,4,64,0,"Number[4.446421251169974 - 2.243687969136296im, 0.009295716594432256 - 0.005838795372324372im, -0.002354965057467544 + 0.01140422122983442im, 0.00521399525652858 + 0.026998361722966165im, 1.3479043388763205e-5 - 0.0029778340483947903im, 0.19795925593817196 + 0.0im]","[6.942210362602585, 0.011402670894196516, 0.01139997721275927, 0.004638814501371946, 0.19795925593817196, 0.006874034544054106]","[270.9404134922915, 5.034823065782457, 98.55548173089085]"
0.1,4,64,0,"Number[0.30202001873345585 - 1.0032288351478553im, -0.00572180206058011 - 0.012019499670277252im, 0.008419732720422119 + 0.0012840733655787387im, 0.005069715375321254 - 9.723461371658034e-63im, 0.007429616844386102 - 7.778769097326427e-62im, 0.19937143329283533 + 0.0im]","[6.835096173091949, 0.012752135512860616, 0.011831506694893232, 0.005064381655396134, 0.1993714332928354, 0.007431177500958883]","[260.89984856100307, 5.149775098793179, 102.8010837704236]"
0.1,4,64,0,"Number[0.0636824301435793 + 2.160513123875128im, 0.011002653873540403 + 0.02220283910746236im, -0.003985506001953215 - 0.020901861747845914im, 0.021919018527547 + 2.987047333373348e-59im, 0.005402973221412756 - 3.982729777831131e-59im, 0.2133629889801483 + 0.0im]","[6.913048407778205, 0.011168396566113773, 0.010823284587642335, 0.004652802285367575, 0.21336298898014833, 0.007554736606015934]","[237.6321696320347, 4.9523811023538284, 109.25108687901188]"
0.1,4,64,0,"Number[4.424012073621177 - 2.416276576327375im, 0.009344103050761705 - 0.005663911987847497im, -0.0023548053255262667 + 0.011248839817606032im, 0.005278812263898028 - 0.027211103576573335im, 0.001686111764104545 + 0.0027968488626379418im, 0.22313822173889664 + 0.0im]","[6.062089390505275, 0.01327263820912641, 0.010528048578474615, 0.004470777128138466, 0.2231382217388967, 0.008269664112448397]","[272.5385114411274, 4.958423737800792, 98.07088606031681]"
0.1,4,64,0,"Number[2.3043939331406427 + 0.5285953909677178im, 0.00327248390090925 + 0.0017779658346513262im, 0.005936303297886298 + 0.0027757135316533585im, 0.004897699035561646 - 0.025374090550605313im, 0.0011092326159947417 + 0.0025033549423900806im, 0.19216241699456355 + 0.0im]","[6.875971890062261, 0.012193212650497323, 0.01248198039108577, 0.0043821016109280835, 0.1921624169945635, 0.006893586796413372]","[225.64224506373077, 4.969962816969822, 105.09681299978081]"
0.1,4,64,0,"Number[0.3195049944504636 - 3.8474427853290183im, 0.009686134776576172 - 0.017824167378994903im, -0.0024015461220757922 + 0.015870659535795088im, 0.025962233895249088 + 0.0im, 0.0037050315644057124 + 0.0im, 0.19097238519939944 + 0.0im]","[6.276708214333899, 0.012312352886316508, 0.010583238609372372, 0.005118293293861237, 0.19097238519939944, 0.006942086350020899]","[262.59123203833246, 4.80975339844885, 92.53779000886084]"
0.1,4,64,0,"Number[-0.4229550897766905 - 0.9132223107496481im, -0.005849800218772247 - 0.01821587874278286im, 0.009144486105084497 + 0.010475561013557358im, 0.004974291333838536 + 0.0256578572646459im, 0.0030669471793068545 - 0.0021262538654936093im, 0.19809004401678015 + 0.0im]","[6.701179093725948, 0.012382185754918073, 0.011839144095662928, 0.004242350343525003, 0.19809004401678013, 0.008099438343103579]","[267.9221531708134, 4.688163695353406, 104.35887026120095]"
0.1,4,64,0,"Number[2.6679471903834457 + 0.4733638362470154im, 0.0027583857795350653 + 0.001524407785220558im, 0.005990991939833995 + 0.0028532032978764266im, 0.005476284769895039 - 0.028348300652386325im, 0.001817505110196014 + 0.0027772507868521028im, 0.219988139564729 + 0.0im]","[7.067452122510145, 0.012735348858483958, 0.012008765176120602, 0.004857042819061852, 0.21998813956472893, 0.008244956192883166]","[239.86186264579416, 4.764893440478789, 94.01891505087242]"
0.1,4,64,0,"Number[0.10910001931246761 + 2.041916916699518im, 0.01110887519691486 + 0.022971976594532255im, -0.004180988713236237 - 0.02198873062511172im, 0.004535041735468676 + 0.0im, 0.006955063901603635 + 0.0im, 0.2013306992204283 + 0.0im]","[6.78882245820896, 0.01117631291084648, 0.01058690191621594, 0.004531200661174805, 0.2013306992204283, 0.006956209321014547]","[230.19768856445404, 5.202647812241837, 109.4695379914046]"
0.1,4,64,0,"Number[0.3821713956818754 - 1.075792023185755im, -0.006064915852460934 - 0.01220961349126083im, 0.008667097074694938 + 0.0011776417774535574im, 0.004510025179561127 + 0.0im, 0.008185819004246659 + 0.0im, 0.2196193510367097 + 0.0im]","[6.911227552970849, 0.011828222710707773, 0.01157228880863271, 0.004507735214665007, 0.21961935103670976, 0.008186572783799008]","[246.02018591553593, 4.967090304455265, 97.75682710355014]"
0.1,4,64,0,"Number[0.08273498456719956 + 0.824153067677398im, -0.00010513756265262907 - 0.033967138780912745im, 0.0015302721463827575 + 0.02570159881217582im, 0.005077476317865506 + 0.0im, 0.007132813517965907 + 0.0im, 0.21610274057711862 + 0.0im]","[7.252251653716965, 0.010914984035724336, 0.011929590327971109, 0.005071865054822278, 0.21610274057711862, 0.007134210565907477]","[230.26415041187005, 4.824815861003995, 103.99808560153792]"
0.1,4,64,0,"Number[2.6816836997306095 - 0.4180095074958426im, 0.0024258342084980864 - 0.0013288002182899074im, 0.005913539489890374 - 0.0028548395420728047im, 0.025382302154368874 + 0.0im, 0.0029497882376334785 + 0.0im, 0.2029392929129753 + 0.0im]","[6.41990610629071, 0.01304343063527328, 0.010599840282948535, 0.00467651314443028, 0.20293929291297527, 0.0071981972635019684]","[248.97772467232232, 5.4412912219473455, 94.97203930813428]"
0.1,4,64,0,"Number[0.4022084344248308 + 1.062704762448998im, -0.006595732399083329 + 0.012482354351999937im, 0.00915432856116276 - 0.001160027865508064im, 0.005480084259500237 + 0.028365838040039146im, 0.0019863175340845635 - 0.0027585159184278056im, 0.1870605694169271 + 0.0im]","[6.9213508358671625, 0.012788694882287453, 0.011802559059133366, 0.004856370975314552, 0.1870605694169271, 0.008374907932178868]","[237.97666136667587, 4.761222031058532, 93.97805589039915]"
0.1,4,64,0,"Number[1.6421000592128496 - 1.8591078227257205im, 0.0029697290325563816 - 0.009384487128481642im, 0.005984903567740517 + 0.006963620066127339im, 0.025096098102228456 - 3.8893845486632136e-61im, 0.004353415929612039 - 9.334522916791713e-61im, 0.21001799771959453 + 0.0im]","[6.008734192696989, 0.011631060513068071, 0.011242537719714958, 0.004749602360346316, 0.21001799771959453, 0.007147606503470859]","[248.124708529441, 4.6204731745067, 96.39153140004935]"
0.1,4,64,0,"Number[1.9466158993279492 + 1.7306097355868917im, 0.003398358345460789 + 0.008529764485786955im, 0.0056221336798458555 - 0.006142445652028951im, 0.005686505118179455 + 0.029449287209439002im, -4.248062698072124e-5 - 0.003199740784102351im, 0.19796778532935147 + 0.0im]","[6.192003190788126, 0.011152930257539986, 0.012076406680537038, 0.005067174271489213, 0.19796778532935144, 0.00731100765931683]","[258.86236069042604, 4.7973749054670325, 90.27084182362105]"
0.1,4,64,0,"Number[-2.94636057397534 - 2.7080344702970933im, 0.0004774312407794009 + 0.027001331845230334im, 0.0008095897406371046 - 0.01916276027137587im, 0.005126303352464972 + 0.02675019724910804im, 0.0011524048011808078 - 0.002751754765272612im, 0.2165122576358973 + 0.0im]","[7.075451760820181, 0.012429691051859378, 0.012092074836790487, 0.0049366429731159435, 0.21651225763589727, 0.0073211456221346834]","[270.1945818188126, 5.000118050655367, 99.36881679284616]"
0.1,4,64,0,"Number[0.6210784923089928 + 1.2021931096318306im, -0.004980981566842946 + 0.011801857421657843im, 0.007806831360270594 - 0.0007460396642915212im, 0.005697778550848249 - 0.029465043925337314im, 0.0006348642633629521 + 0.0028853805700166236im, 0.19099391517126763 + 0.0im]","[7.027432377614246, 0.010976084854670056, 0.012447287795980533, 0.004998631161702786, 0.19099391517126765, 0.007327338312016498]","[255.64977523009685, 4.583143456827083, 90.40157504373423]"
0.1,5,69,1,"Number[2.6779271906781608, 0.004842161859169406, 0.006169404809707194, 0.004452890805876136, 0.007621295374106147, 0.18735185434536492]","[6.05626333746409, 0.01183650327854326, 0.012278069306601374, 0.004453084181908265, 0.18735185434536494, 0.007621228399620823]","[261.70627795512416, 4.760281241222036, 101.41040241723148]"
0.1,5,3,1,"Number[2.7997295217306304, 0.005243122250842628, 0.0057549544976513555, 0.005140755786087499, 0.0077572765189318, 0.22496338926218984]","[6.582867510068014, 0.01102170306737152, 0.012635971000802302, 0.005141390722433545, 0.2249633892621899, 0.007757132286850187]","[267.1246845776978, 4.501966179271574, 107.06590157566582]"
0.1,5,48,1,"Number[2.746309316494382, 0.00487535039497674, 0.006792052608721904, 0.0050622984155212734, 0.007433792113599877, 0.2072945542174675]","[6.659621579298293, 0.011801083073521327, 0.012661248357550697, 0.005062793374838581, 0.20729455421746745, 0.007433615102270168]","[230.10740978513445, 5.196803455787495, 103.56569811644229]"
0.1,5,99,1,"Number[3.0229004899890364, 0.004085640396274587, 0.0066990953268724115, 0.004267143351793018, 0.007159035691197225, 0.22279751014757812]","[7.125274459659424, 0.011870261441709717, 0.012646914093192702, 0.004267231675846336, 0.22279751014757815, 0.007158994904803549]","[256.0046371068362, 4.8136832392367435, 91.62700175165307]"
0.1,5,68,1,"Number[2.8682126872566553, 0.004120262883557436, 0.006996356906326012, 0.004456780901038656, 0.007579557580352826, 0.2256929008727803]","[6.081799899194025, 0.012632963428632016, 0.011278830408580078, 0.004456922913073392, 0.22569290087278024, 0.007579503162066473]","[243.18811926832333, 4.692896211208077, 95.43934339861204]"
0.1,5,51,1,"Number[2.968856023224739, 0.0036903338277784583, 0.007321210013152158, 0.0047053177274178955, 0.008161699678694916, 0.19915832756125343]","[6.349606749724116, 0.011376453865413078, 0.010741088761171155, 0.004705527680266939, 0.19915832756125343, 0.008161607282540086]","[228.9108726036873, 5.182963735677993, 96.06356406447101]"
0.1,5,67,1,"Number[2.7410707526702422, 0.004021085519722585, 0.0066095534793547996, 0.004558745377926154, 0.00700951896817184, 0.2056629663308116]","[6.130565725301259, 0.011826261414347035, 0.010730148787646323, 0.004559079339683882, 0.20566296633081158, 0.007009420580825031]","[249.20162953134604, 4.76908141232571, 109.3915750156699]"
0.1,5,25,1,"Number[2.737403127255258, 0.002749800650918539, 0.007602320589942691, 0.004372834470618985, 0.007800601807138803, 0.21050817935829355]","[7.151898241868236, 0.012957482345700589, 0.011173101964767389, 0.00437303961604112, 0.21050817935829355, 0.007800522340601061]","[236.01224291228425, 5.126293703181034, 104.64369856420761]"
0.1,5,83,1,"Number[2.8514381259201547, 0.004302695243821661, 0.006336637084299502, 0.0050888908760794065, 0.007573365453219939, 0.19115202494360944]","[6.792404292839003, 0.011093854445072738, 0.01161787318958296, 0.005089539390739005, 0.19115202494360944, 0.007573137572776577]","[254.06408452905134, 5.435406560759239, 108.23442173361657]"
0.1,5,107,1,"Number[2.6879636513301355, 0.00467534147605779, 0.006271252504053853, 0.004754199672951968, 0.008017867655761186, 0.20575130520800936]","[6.104960793906946, 0.012969274967596282, 0.011796101412170237, 0.004754588972266428, 0.20575130520800938, 0.008017762406243908]","[258.8115034935511, 4.69227985907262, 107.19180105980575]"
0.1,5,69,1,"Number[2.7872794209375593, 0.003823867175809098, 0.007497741235988327, 0.004368906950865806, 0.008196913563545816, 0.22133344220840806]","[5.961313123735393, 0.012663095316948925, 0.010843931283610168, 0.004369047015257453, 0.22133344220840817, 0.008196855797633566]","[226.4758549627074, 4.952003876913338, 97.417254773852]"
0.1,5,60,1,"Number[2.9064205784476265, 0.004868429493972234, 0.0064157319282744565, 0.004807228388857797, 0.006886166331990998, 0.21140010381092225]","[5.965972939545527, 0.011128100428951175, 0.011827663934526023, 0.004807434838020779, 0.2114001038109222, 0.006886078188127072]","[252.4631318353232, 4.9222047279926135, 93.31369507485243]"
0.1,5,58,1,"Number[2.780234535049535, 0.003405394960773079, 0.007169114530607672, 0.004543043701479834, 0.007417146643955351, 0.21026200165150843]","[7.005087030169056, 0.011761842767177996, 0.011159244956838048, 0.004543358362235125, 0.21026200165150846, 0.007417062073480246]","[235.28648951325772, 4.587476422014399, 108.76796798018437]"
0.1,5,125,1,"Number[3.009990487267173, 0.0026713933077795755, 0.007330270304654761, 0.004602114039683963, 0.0073166827919098325, 0.217137504969066]","[6.951270777634147, 0.012030140324787318, 0.010418108341925005, 0.004602314695881663, 0.21713750496906598, 0.007316608689487768]","[246.50968788188175, 4.776429602959782, 98.04794208866815]"
