interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
0.2,6,216,0,"Number[2.700204592960639 - 2.045812698249192im, 0.0030846293933257615 - 0.007764089118187165im, 0.007304643527262106 + 0.004947496434365934im, 0.03802226573535545 + 0.0im, 0.001394927222665215 + 0.0im, 0.2070886995641921 + 0.0im]","[6.320230386764374, 0.012200131475097102, 0.009800521308259692, 0.004362601614923342, 0.207088699564192, 0.008393367713694708]","[289.4352440590187, 4.811828709453354, 85.27026404106877]"
0.2,7,244,1,"Number[3.4407154996867355, 0.006183381875694935, 0.008153139887941478, 0.004780547479162989, 0.008399683175525741, 0.22411781993413785]","[7.291275066964483, 0.0101859622977461, 0.01245166203124754, 0.004780550025959614, 0.2241178199341378, 0.008399682065137816]","[219.5240888476434, 5.284661814997792, 110.57364945277675]"
0.2,7,65,1,"Number[3.911799728005386, 0.005032282666563632, 0.008155918862223617, 0.004736131399910653, 0.006896506569230235, 0.18479280232996925]","[6.451397009640541, 0.010028537983129877, 0.01059540708802623, 0.004736131669341288, 0.18479280232996922, 0.00689650639037536]","[255.50445219115105, 4.655855551724998, 81.57359012124414]"
0.2,7,69,1,"Number[3.8342827618957966, 0.003783801607771292, 0.0076801951839057135, 0.005055110670880364, 0.0071254105236335935, 0.20328719162464684]","[7.228078195870982, 0.01110860736594167, 0.01023073407027442, 0.005055111666667754, 0.2032871916246468, 0.007125410126965031]","[298.3930702869595, 4.200575929065306, 91.33138509589729]"
0.2,7,318,1,"Number[3.3362104044333374, 0.002779919497558233, 0.00860804240195467, 0.0038347698280937954, 0.007117543663481482, 0.169966243674318]","[7.513068575178683, 0.01165277236121136, 0.010329223519334092, 0.0038347700299985066, 0.169966243674318, 0.0071175435154334395]","[269.54733290967937, 5.42014772521371, 99.88558518738657]"
0.2,7,343,1,"Number[2.985718060693896, 0.003187159370643664, 0.009618137616902528, 0.004780256707009514, 0.00762558253174376, 0.20070373422399074]","[7.11891886812726, 0.012995728599621025, 0.010716903290391263, 0.0047802588516153875, 0.20070373422399085, 0.007625581329285501]","[233.69077227481847, 5.665243094978287, 107.62836767876341]"
0.2,7,290,1,"Number[3.7667509774623396, 0.0036464413886278294, 0.008374415862237219, 0.004681419509172355, 0.00635874047818445, 0.24609480956511784]","[7.395319644029588, 0.013979554325106426, 0.01129281400717889, 0.004681419772389255, 0.24609480956511792, 0.006358740268642691]","[286.3683317641134, 5.0604477173110345, 82.09068039832444]"
0.2,7,65,1,"Number[2.882728155936657, 0.006865136369217648, 0.0075216292781274535, 0.004642031366704861, 0.008486162509231985, 0.18168896095822282]","[6.883237652025539, 0.012630358944127725, 0.013841400124421494, 0.004642034452249089, 0.1816889609582229, 0.008486161556339014]","[247.12841644270213, 4.848078039145349, 117.82900033026243]"
0.2,7,332,1,"Number[3.881159448480773, 0.00438494005101412, 0.008805684232958381, 0.005391647846424649, 0.008511601752150546, 0.23359957628452402]","[7.265417260349549, 0.011282799992055071, 0.011215297060053734, 0.005391648819415211, 0.233599576284524, 0.008511601351699899]","[246.81933761661077, 4.160056819472658, 84.548706133864]"
0.2,7,247,1,"Number[2.8526895276301225, 0.0022863816350896403, 0.009590448476192327, 0.004072136450872311, 0.008688984267504269, 0.17890671843017383]","[6.892125911188822, 0.014273336877914627, 0.010093905167668657, 0.0040721369561771085, 0.17890671843017375, 0.008688984075900776]","[251.69304986860584, 4.5085003034544275, 106.8582606155824]"
