param_set,taylor_n,num_solutions,num_real_solutions,true_parameters,pred_parameters
18,1,1,1,"[5.629472708494481, 0.01213299132283874, 0.00935989683845952, 0.0035630439053920618, 0.25085755481523286, 0.00948699042741519]","[2.3359896210094395, 0.0032146276809288644, 0.0015082553172677368, 0.0029842695692095336, 0.25085755481523286, 0.00955267080916544]"
19,1,1,1,"[5.450701157892354, 0.01337515905157597, 0.008884870925517492, 0.0043495810392241, 0.19051005744590926, 0.008673313112387395]","[2.3557112592231113, 0.0033366175198407295, 0.0013225052840537027, 0.0035098525488412528, 0.19051005744590932, 0.00875946109334006]"
20,1,1,1,"[5.00527463596133, 0.013815582820197545, 0.011251510733000531, 0.005139048826503848, 0.1702720815464459, 0.0061508382975664945]","[1.9826843677764845, 0.0029521546690635565, 0.0023604822019081284, 0.003995543717696944, 0.17027208154644588, 0.006265355393957079]"
21,1,1,1,"[5.658949247438459, 0.010120911614759222, 0.011796938465425854, 0.0037901073122133906, 0.2240410929484584, 0.007921013068247322]","[2.0251457091817446, 0.0028008611341331442, 0.0023138079835791055, 0.003139540927930232, 0.22404109294845845, 0.007996395093835793]"
22,1,1,1,"[6.944839527918379, 0.013994948385028459, 0.011093745621003702, 0.003753928017481638, 0.16326782752013438, 0.008918693404527302]","[2.35323512402338, 0.0034237556400403056, 0.001146358896838048, 0.003115499731638393, 0.1632678275201344, 0.008990226577542263]"
23,1,1,1,"[8.052109556298323, 0.011708306487104006, 0.01408739468181008, 0.004813680014893006, 0.18382518544917523, 0.008582976730334943]","[2.22373413184117, 0.002987397139528378, 0.002057477169778342, 0.0038013381051630562, 0.18382518544917523, 0.008679412507271375]"
24,1,1,1,"[6.100502293405713, 0.014451457385812386, 0.009176195056267891, 0.004344885414194628, 0.20587552726439118, 0.0070464188976555615]","[2.442764009893445, 0.0035398398681390168, 0.0008812964588868732, 0.0035056475137027125, 0.2058755272643912, 0.007138391288178511]"
25,1,1,1,"[6.261916541320521, 0.011673457776706647, 0.014337878470180488, 0.004741746090886472, 0.1553098559394324, 0.008286449943978926]","[1.8450940666671882, 0.0027895434067077276, 0.0025890493015282546, 0.003756792127923762, 0.15530985593943242, 0.008382560972725587]"
26,1,1,1,"[7.230085306689093, 0.012106656528710184, 0.010210443765418076, 0.00482331486754735, 0.17581939340305022, 0.0057807792765412185]","[2.537351531489838, 0.0034178313002129566, 0.000957839003934459, 0.003804833832599812, 0.1758193934030502, 0.005889490762610158]"
27,1,1,1,"[6.591881031724462, 0.01085908422160035, 0.01437057376583301, 0.005333302381899984, 0.2117165351441858, 0.008084589450051274]","[1.9649908475071853, 0.002687019529533021, 0.0027545742841239254, 0.004111693916366394, 0.21171653514418584, 0.008193718104870424]"
28,1,1,1,"[7.1112021628339095, 0.009629707092324831, 0.013934624822160898, 0.005538601186300945, 0.21737136854203984, 0.006120014723310361]","[2.13487999786823, 0.002644011851084175, 0.002645471015067215, 0.0042280047320191645, 0.21737136854203987, 0.006243640634803151]"
29,1,1,1,"[6.620298572269564, 0.009510943930274292, 0.009791187402978097, 0.004361749558330013, 0.2320600314384373, 0.0063063013584335696]","[2.536443578905275, 0.002999552331804951, 0.0015916481034618352, 0.003515920637500525, 0.23206003143843734, 0.006401467856514616]"
30,1,1,1,"[5.059478380483255, 0.013080160059104725, 0.010554871770070803, 0.0036360228136869672, 0.1754425942873103, 0.008773386753468993]","[2.0205298605886437, 0.0030777211020784723, 0.001974499111253748, 0.003034499852566595, 0.17544259428731035, 0.00884250644643298]"
31,1,1,1,"[7.124156977738204, 0.009438065268795613, 0.013761170708157458, 0.003945012857696718, 0.21335025652025183, 0.008277066831189681]","[2.084475321084081, 0.0027229831031811034, 0.0023771402730186123, 0.0032442155231495683, 0.2133502565202518, 0.008355184372315678]"
32,1,1,1,"[6.822156119373513, 0.011122484424617825, 0.011325126072384877, 0.004992769078637608, 0.18041673782426176, 0.00806726546703889]","[2.366366194510563, 0.0030660400646272735, 0.0017589464700446694, 0.003909827579020425, 0.1804167378242618, 0.008169657778572897]"
