param_set,taylor_n,num_solutions,num_real_solutions,true_parameters,pred_parameters
81,4,64,0,"[7.047864846656147, 0.010035478948018138, 0.014394401857537206, 0.0040336552500581, 0.21444502565610368, 0.007737317595906724]",
82,4,64,0,"[7.9519855068753404, 0.012186357186428128, 0.01402510836324842, 0.004767267673554709, 0.18520716725517086, 0.008142754395510383]",
83,4,64,0,"[6.799025909714091, 0.013662048392068426, 0.009306951438729047, 0.005810238553286986, 0.17688750785634344, 0.009480885875604387]",
84,4,64,0,"[6.230188057293438, 0.013293824466636371, 0.010925705636070187, 0.004135533646542672, 0.21977766403030577, 0.009145059421132811]",
85,4,64,0,"[5.349280987380378, 0.009341176245475903, 0.009864101008971568, 0.0043791866007456305, 0.20526984460017184, 0.007036416969104569]",
86,4,64,0,"[7.941575144241994, 0.014681461125226376, 0.009509086327544925, 0.004425127050151094, 0.1731405487628274, 0.007556186203499218]",
87,4,64,0,"[6.166419016872244, 0.01440138676331882, 0.009907749751924558, 0.005203862164283693, 0.22895725706910242, 0.009144025246159744]",
88,4,64,0,"[6.367673307443757, 0.014019124751357935, 0.013332503009986237, 0.004366637660170938, 0.2330548395855973, 0.00691372597281362]",
89,4,64,0,"[6.089576589340137, 0.009672089038412301, 0.010113479173514807, 0.004627094076234592, 0.16685296345732656, 0.008737479153456327]",
90,4,64,0,"[5.810843063517317, 0.01301959772047493, 0.012417085086700284, 0.003734038232750565, 0.2391473705650402, 0.007015019140557688]",
91,4,64,0,"[6.58119184017851, 0.01331193790599896, 0.012357514433199527, 0.005022314013377695, 0.16105243411343334, 0.007715821269505726]",
92,4,64,0,"[5.6255710456044845, 0.013585087134982394, 0.01409142754736982, 0.004578751889490107, 0.22120840803368397, 0.007754419631513139]",
93,4,64,0,"[6.835251049967553, 0.012286697393367818, 0.012334713231906323, 0.0056693523572322255, 0.1958215742777876, 0.008050435094997727]",
94,4,64,0,"[6.739754393108725, 0.009723199795891981, 0.01130279367271314, 0.005275465862290159, 0.20743257750968264, 0.00945083908768752]",
95,4,64,0,"[6.178104321037805, 0.014395619749077432, 0.011580725088983407, 0.00456062174247486, 0.22295520454878648, 0.006647834104822709]",
96,4,64,0,"[5.278769621994295, 0.014126028065762769, 0.013745870279404212, 0.00412005878731537, 0.2222164889436784, 0.00811552147272145]",
97,4,64,0,"[6.7974114960669185, 0.012374030521135625, 0.013099824314471589, 0.0047158917522700135, 0.252810638428235, 0.005972949374666653]",
98,4,64,0,"[5.976034431148206, 0.009594292041878873, 0.012193342699091904, 0.0047756466484568895, 0.1703133725974953, 0.008983114492662451]",
99,4,64,0,"[7.019799518360344, 0.011172540942386516, 0.008898683657737294, 0.0047717822598489145, 0.17756972365728638, 0.007243874692731914]",
100,4,64,0,"[6.587729494207602, 0.013898055578311457, 0.011266573743875165, 0.005751142385905669, 0.20168759539512812, 0.008482679815383896]",
1,5,125,1,"[7.540049395250997, 0.009625767341635016, 0.010292656950340913, 0.005396673830390832, 0.2112438604918186, 0.008841281671914721]","[3.388106493628148, 0.0066781756246868254, 0.003153480858987746, 0.005396063013833913, 0.21124386049181848, 0.008841471475975868]"
2,5,125,1,"[7.234692797666877, 0.011102574371423642, 0.011173096926522262, 0.003795586545838597, 0.19696943693532443, 0.009132998612337252]","[2.9814510279146376, 0.006952229073701637, 0.0031221747157829357, 0.0037955206612251004, 0.19696943693532445, 0.009133027118957181]"
3,5,125,1,"[8.124414631507523, 0.013296128062366196, 0.010138341940810234, 0.00504866083442344, 0.1693627806232393, 0.007821092825203201]","[2.7895589423285907, 0.00824616402124942, 0.00020650359784489352, 0.005048259270387773, 0.1693627806232393, 0.007821233243343799]"
4,5,125,1,"[6.52337014495481, 0.011853858481330491, 0.009270192983649346, 0.005424881425820791, 0.16551658768647431, 0.005743428095472476]","[3.0100505449250248, 0.007339499871741117, 0.00230017704587875, 0.005424239216125149, 0.16551658768647434, 0.005743654269889259]"
5,5,125,1,"[5.349496696077116, 0.013214325378416995, 0.010300340766905305, 0.004396154869040357, 0.22867472149908644, 0.007073798491524768]","[2.752010702463213, 0.0067605631128242255, 0.00425822535720083, 0.004395987065121013, 0.22867472149908644, 0.007073867727784824]"
6,5,125,1,"[7.199015722055437, 0.01041933944551836, 0.012733797869361407, 0.005441850646851433, 0.21629622513003233, 0.006221709953275398]","[3.0274751476751174, 0.006256230230401595, 0.004869923370814967, 0.005441197077597078, 0.21629622513003238, 0.006221935294650186]"
7,5,125,1,"[6.171960083221835, 0.01467259835149079, 0.014292962204485851, 0.004608669568748206, 0.17848968372237248, 0.00913790964352339]","[2.4423926693833087, 0.006355683190257327, 0.005531611554895711, 0.004608445981092286, 0.17848968372237256, 0.00913799095247391]"
8,5,125,1,"[8.233031686891632, 0.012538101159311768, 0.011192906655309677, 0.004524593121735421, 0.21938533958341178, 0.006652298447601628]","[2.9430866077150184, 0.0076222972032406, 0.0017193175751647135, 0.004524391390154651, 0.21938533958341175, 0.0066523807902170275]"
9,5,125,1,"[8.207036996454313, 0.013121450409475863, 0.012764999537279751, 0.003622398064158288, 0.20267809503676612, 0.008714702700339846]","[2.820690994037965, 0.0072713076094124635, 0.002847505620323886, 0.0036223487703342903, 0.20267809503676612, 0.008714725152655983]"
10,5,125,1,"[6.160522578714328, 0.011411933043044043, 0.009143156788385455, 0.004496774506781287, 0.22966908405935316, 0.00880732550750929]","[3.0300358432622554, 0.007106484904352092, 0.002806576911089246, 0.004496582721918417, 0.2296690840593531, 0.008807398020098157]"
11,5,125,1,"[5.35505216846985, 0.012244221761420255, 0.010978638078700233, 0.0054939375489106495, 0.22635557149197122, 0.009325786673646563]","[2.8185545784712196, 0.0063529814009000455, 0.0051660959812346455, 0.0054932546646973765, 0.2263555714919711, 0.009325989776151816]"
12,5,125,1,"[5.05202844707604, 0.012061731040800614, 0.008678022180931087, 0.004207023793840472, 0.21581912913787954, 0.009128628318708053]","[2.841178371742165, 0.0069132555006328755, 0.003578431100805969, 0.004206898023368045, 0.2158191291378795, 0.009128678235300534]"
13,5,125,1,"[7.659149977726588, 0.013977215534513893, 0.01413160297429334, 0.004653862984561972, 0.1900683997649168, 0.008234380680353568]","[2.7219136516823017, 0.006745154228123593, 0.004419983100236989, 0.0046536239775105, 0.19006839976491688, 0.008234470021517226]"
14,5,125,1,"[7.508779930570407, 0.009523067626799305, 0.011176100889662036, 0.003722770860248236, 0.18877818959632411, 0.006232052258751836]","[3.1643082777636664, 0.006568571512423247, 0.0034241896946526104, 0.0037227116001781984, 0.18877818959632414, 0.00623208101041221]"
15,5,125,1,"[5.650338880343311, 0.010656434044007184, 0.012184457171457615, 0.004537053473536145, 0.17625251255248647, 0.007747096253484015]","[2.6292152358018708, 0.0061709054952993544, 0.005222251233568153, 0.004536849447348853, 0.17625251255248656, 0.00774717587920054]"
16,5,125,1,"[6.572886464706573, 0.011401233991726458, 0.0118420305502289, 0.004254089456461134, 0.16080153671049208, 0.005813473441598727]","[2.7975527586368623, 0.006666085326062909, 0.004059404701510907, 0.004253952167613322, 0.16080153671049208, 0.005813534254603853]"
17,5,125,1,"[7.448847529346538, 0.012027248534713077, 0.01249544561600568, 0.0038134434634416285, 0.22215321306251956, 0.006199395225821079]","[2.8534860921101726, 0.006863748135203751, 0.0036913043719502534, 0.0038133745373404764, 0.2221532130625196, 0.006199428143590672]"
18,5,125,1,"[5.629472708494481, 0.01213299132283874, 0.00935989683845952, 0.0035630439053920618, 0.25085755481523286, 0.00948699042741519]","[2.8620940907735415, 0.007021197980557143, 0.003293555878040075, 0.003562999620567558, 0.2508575548152328, 0.009487010324426583]"
19,5,125,1,"[5.450701157892354, 0.01337515905157597, 0.008884870925517492, 0.0043495810392241, 0.19051005744590926, 0.008673313112387395]","[2.8108716586239804, 0.007281054500601435, 0.0028867313054633634, 0.004349425510970702, 0.19051005744590935, 0.008673374032718655]"
20,5,125,1,"[5.00527463596133, 0.013815582820197545, 0.011251510733000531, 0.005139048826503848, 0.1702720815464459, 0.0061508382975664945]","[2.5840852985120533, 0.0064577411315426755, 0.005162285394338334, 0.005138595140449816, 0.17027208154644594, 0.006151004844847101]"
21,5,125,1,"[5.658949247438459, 0.010120911614759222, 0.011796938465425854, 0.0037901073122133906, 0.2240410929484584, 0.007921013068247322]","[2.6827947472379234, 0.006152729313250557, 0.005058959232478336, 0.003790041591192464, 0.22404109294845845, 0.00792104282283758]"
22,5,125,1,"[6.944839527918379, 0.013994948385028459, 0.011093745621003702, 0.003753928017481638, 0.16326782752013438, 0.008918693404527302]","[2.750548637024395, 0.007466395388035556, 0.0025023109017840383, 0.003753866472205539, 0.16326782752013436, 0.008918720453574436]"
23,5,125,1,"[8.052109556298323, 0.011708306487104006, 0.01408739468181008, 0.004813680014893006, 0.18382518544917523, 0.008582976730334943]","[2.856363817466978, 0.006548798342311626, 0.004481300197648013, 0.0048133845523320815, 0.18382518544917528, 0.00858308197101013]"
24,5,125,1,"[6.100502293405713, 0.014451457385812386, 0.009176195056267891, 0.004344885414194628, 0.20587552726439118, 0.0070464188976555615]","[2.776015191501098, 0.007711323511601239, 0.0019293008941044779, 0.004344729575684026, 0.20587552726439118, 0.007046483889295279]"
25,5,125,1,"[6.261916541320521, 0.011673457776706647, 0.014337878470180488, 0.004741746090886472, 0.1553098559394324, 0.008286449943978926]","[2.463876921127601, 0.006124807337626088, 0.0056546693589748, 0.004741477124110905, 0.15530985593943233, 0.008286548340710848]"
26,5,125,1,"[7.230085306689093, 0.012106656528710184, 0.010210443765418076, 0.00482331486754735, 0.17581939340305022, 0.0057807792765412185]","[2.970906388319948, 0.00743575929052901, 0.0021095329171417283, 0.004823011064684448, 0.17581939340305014, 0.005780899749526492]"
27,5,125,1,"[6.591881031724462, 0.01085908422160035, 0.01437057376583301, 0.005333302381899984, 0.2117165351441858, 0.008084589450051274]","[2.6704921942776094, 0.005910819890887311, 0.006023066996143036, 0.005332733576916013, 0.21171653514418592, 0.008084774838839704]"
28,5,125,1,"[7.1112021628339095, 0.009629707092324831, 0.013934624822160898, 0.005538601186300945, 0.21737136854203984, 0.006120014723310361]","[2.909268280303224, 0.0058286539423051285, 0.005782870561206491, 0.005537869240647062, 0.21737136854203984, 0.006120263222821275]"
29,5,125,1,"[6.620298572269564, 0.009510943930274292, 0.009791187402978097, 0.004361749558330013, 0.2320600314384373, 0.0063063013584335696]","[3.2419635946371006, 0.0065462489436326704, 0.003498818602000746, 0.00436158920923061, 0.23206003143843737, 0.006306369848811406]"
30,5,125,1,"[5.059478380483255, 0.013080160059104725, 0.010554871770070803, 0.0036360228136869672, 0.1754425942873103, 0.008773386753468993]","[2.555307685771132, 0.0067323225274478, 0.004310729843069636, 0.003635972370149124, 0.17544259428731032, 0.008773409600174469]"
31,5,125,1,"[7.124156977738204, 0.009438065268795613, 0.013761170708157458, 0.003945012857696718, 0.21335025652025183, 0.008277066831189681]","[2.7900485676182893, 0.0059928469070423835, 0.005188810080444914, 0.003944928529476782, 0.21335025652025186, 0.008277103337936582]"
32,5,125,1,"[6.822156119373513, 0.011122484424617825, 0.011325126072384877, 0.004992769078637608, 0.18041673782426176, 0.00806726546703889]","[2.9884460481161392, 0.006709198832556071, 0.0038389307927565453, 0.004992395444068455, 0.18041673782426187, 0.008067396357627188]"
33,5,125,1,"[7.081555488257474, 0.010460173387316116, 0.009035039098339498, 0.005765858499538095, 0.21973171309737113, 0.007527502851947533]","[3.2759548296148493, 0.007167455757933835, 0.002158735971425878, 0.005764918776745868, 0.2197317130973712, 0.00752778928777898]"
34,5,125,1,"[7.255814283070281, 0.01182366528085477, 0.00946070128486079, 0.004475438476316514, 0.16102505078613946, 0.006904239010428007]","[2.9859741408145086, 0.007646891658578134, 0.0013962177954676728, 0.004475250501406097, 0.16102505078613946, 0.006904315665530897]"
35,5,125,1,"[6.106746192904443, 0.009181939243829453, 0.01180693462637665, 0.005138778665408804, 0.2492421793049684, 0.007639569342384718]","[2.9965378312810427, 0.005861938903564854, 0.005453839583007674, 0.0051383286577461424, 0.24924217930496845, 0.007639725290329823]"
36,5,125,1,"[6.567310085469063, 0.012364644846500784, 0.012870306627694086, 0.0038428888623311076, 0.24432045952366863, 0.008438372513884218]","[2.7077118933704667, 0.006531518818362839, 0.004699706319096228, 0.0038428173803123594, 0.24432045952366868, 0.008438403966028608]"
37,5,125,1,"[5.881992554855935, 0.013230824122947762, 0.01017455607858227, 0.005055707927838542, 0.21391291831704504, 0.0068982326962648685]","[2.871638993533336, 0.006990158416707912, 0.0036419481107506676, 0.005055300675792603, 0.21391291831704504, 0.006898380519708441]"
38,5,125,1,"[6.800394432899887, 0.01247521577001581, 0.01289396712611082, 0.004137969232412981, 0.17923826148687985, 0.00886472961384833]","[2.70072175110711, 0.006670363682896205, 0.004346490110009809, 0.004137855760560807, 0.17923826148687982, 0.008864775733516237]"
39,5,125,1,"[6.267696321912104, 0.012104697232049641, 0.012286284625206482, 0.004933887439579009, 0.15799258498454846, 0.00916202588107796]","[2.735873990185906, 0.006526729876010208, 0.004655536497729806, 0.004933543018244989, 0.15799258498454846, 0.009162142426436638]"
40,5,125,1,"[4.965122832405764, 0.013550889057522851, 0.013297255979743829, 0.005132541158968652, 0.2252774874009154, 0.008200917457691975]","[2.3855483814176166, 0.005955741501551813, 0.006450378852310989, 0.005132096029098689, 0.22527748740091533, 0.00820106818156688]"
41,5,125,1,"[6.98115551684737, 0.011059056808838398, 0.01096057087551152, 0.005798862416068814, 0.19188516055721902, 0.008194119071271941]","[3.1156616061604563, 0.006759627548245447, 0.0036688480707175834, 0.005797891321303178, 0.19188516055721902, 0.008194403805250355]"
42,5,125,1,"[7.745040241625919, 0.009395605200774924, 0.010738803003526165, 0.004447189812627253, 0.19689837516656222, 0.00675067632041102]","[3.332055550392081, 0.006609127566425088, 0.0031986388595678546, 0.004447009033509285, 0.19689837516656225, 0.006750750952072792]"
43,5,125,1,"[7.620826062229357, 0.012596848362742146, 0.014098026232581422, 0.0045107008536351394, 0.21043345958897258, 0.00840071703418372]","[2.7632998031577545, 0.006565735694292777, 0.004655677385869462, 0.004510504869815464, 0.21043345958897255, 0.008400792079314988]"
44,5,125,1,"[5.570979808248683, 0.013426250261769041, 0.011580231228025217, 0.005394117368447722, 0.20180399573264038, 0.0068528724142691445]","[2.7368388055871082, 0.006481112152282963, 0.005041328629828346, 0.005393501741028951, 0.20180399573264043, 0.006853081170002537]"
45,5,125,1,"[7.5439388679399695, 0.014073132458029436, 0.012325849229302516, 0.005671055767037452, 0.16155487790351708, 0.008293320801668704]","[2.87246903544827, 0.00717284007291758, 0.0033011198245337663, 0.005670214526446534, 0.16155487790351705, 0.00829357301238812]"
46,5,125,1,"[6.98236168375788, 0.011932680609829946, 0.012354353377790693, 0.0058509534730154765, 0.21312446553980793, 0.008415863763514674]","[2.992327889778104, 0.006534702024037899, 0.00458624468161334, 0.005849926192097278, 0.2131244655398079, 0.008416158614913996]"
47,5,125,1,"[6.5936093885225695, 0.012104051113898963, 0.010658656516298775, 0.004630724347196348, 0.25605694821644487, 0.0070976564581751115]","[2.9773494958399906, 0.006960179982469604, 0.0034501965967838988, 0.004630491270681643, 0.25605694821644487, 0.007097748145287243]"
48,5,125,1,"[8.19910471764612, 0.009939184369384478, 0.010874372952903081, 0.005278945531270525, 0.16494351367998683, 0.008415997850056233]","[3.328144202051765, 0.006875207523362397, 0.00273541806229323, 0.005278413766232982, 0.16494351367998686, 0.00841617042900873]"
49,5,125,1,"[7.118208269774389, 0.013691462013001292, 0.009671907259368786, 0.004145781806387207, 0.23720684290053262, 0.00689409080187802]","[2.7982410614825852, 0.00797352106484542, 0.0010649160275548522, 0.004145665733036372, 0.23720684290053265, 0.006894141513975038]"
50,5,125,1,"[5.579604914043721, 0.012148170296665966, 0.010351609956861742, 0.003570428144838328, 0.16936286146588614, 0.009189066413435122]","[2.698839689404977, 0.006854913322280734, 0.0037617412562104013, 0.003570383228124459, 0.16936286146588617, 0.00918908673144475]"
51,5,125,1,"[7.522302877418577, 0.012936704782155023, 0.01038250354235866, 0.00427820190641092, 0.156172370321283, 0.007977497828519047]","[2.863310281963581, 0.007749450002863144, 0.0014868122812940869, 0.004278061280659016, 0.15617237032128295, 0.007977555195728635]"
52,5,125,1,"[7.875866007563948, 0.012369187753037419, 0.008960875018138088, 0.0043459610322643585, 0.2416060940088652, 0.009321164886166666]","[2.834769588551937, 0.008360246505248003, -0.000455403956329845, 0.004345806825566154, 0.24160609400886526, 0.009321223892312023]"
53,5,125,1,"[5.627519640469609, 0.014192696920652826, 0.01197240103125936, 0.00542043576358685, 0.22384090862819966, 0.006488113356935676]","[2.7291108392490275, 0.006436692318948299, 0.0052655571319440075, 0.005419799367365771, 0.22384090862819964, 0.00648833139821321]"
54,5,125,1,"[5.33292053820531, 0.013456771801994465, 0.014000252676576827, 0.0058264105227894625, 0.2561121351800903, 0.006803982996434159]","[2.5028894461896054, 0.00576805458106606, 0.006930660753345584, 0.00582540147094028, 0.2561121351800904, 0.006804297037558175]"
55,5,125,1,"[7.82434707402412, 0.013646171822020717, 0.009144663945922015, 0.004768674437125702, 0.1764901835812206, 0.0063035818670803025]","[2.648801334733299, 0.008687626606312667, -0.0009247152568546032, 0.004768392611077966, 0.17649018358122057, 0.00630369268620506]"
56,5,125,1,"[8.22668910912632, 0.01178072038307888, 0.009403810159166071, 0.005345628936891786, 0.16864769956661668, 0.008892508696196325]","[2.9702255319381683, 0.008104212331787692, 2.8769101052306e-5, 0.0053450543244304575, 0.16864769956661657, 0.008892688615990293]"
57,5,125,1,"[7.290890724227625, 0.014711402690501994, 0.012389919550446722, 0.005501858977644381, 0.23780676030724354, 0.0065381388224077935]","[2.89257029638757, 0.0070384513252504085, 0.003747393441267125, 0.0055011590933725036, 0.23780676030724363, 0.006538374269076494]"
58,5,125,1,"[6.148220939657348, 0.010897779108764202, 0.011314882311948462, 0.003579146358508549, 0.21117876991458068, 0.005748688984749778]","[2.7891522733568306, 0.006560161922543175, 0.004182685146123506, 0.00357909990585722, 0.2111787699145806, 0.0057487125349567755]"
59,5,125,1,"[5.390239569163156, 0.014767891873257416, 0.014296635812806343, 0.004374712762444906, 0.20415227641404554, 0.007576234799686455]","[2.2642837918251817, 0.006140404640880154, 0.006101512902815325, 0.004374550513738628, 0.20415227641404549, 0.007576300751536381]"
60,5,125,1,"[6.955403478981191, 0.010766670195396306, 0.010351757585733297, 0.0035886669629090076, 0.17576949407068496, 0.007613923383067447]","[3.009506889034694, 0.007006410354258298, 0.0028097083291953326, 0.0035886202032618946, 0.17576949407068493, 0.007613945638818592]"
61,5,125,1,"[6.207250096911151, 0.012457560637943373, 0.014125240369114465, 0.00396093353536495, 0.1816997989646608, 0.007542336118489025]","[2.4214356149551453, 0.00629913889813529, 0.005353057290237031, 0.003960846719476399, 0.18169979896466085, 0.007542374541363878]"
62,5,125,1,"[5.139705738210722, 0.013323921127374964, 0.009932737440784385, 0.003923357155045423, 0.24379447215695416, 0.009487510311200757]","[2.7234095667783933, 0.006803104945082687, 0.004165315807240917, 0.0039232762048164605, 0.24379447215695418, 0.009487543999777194]"
63,5,125,1,"[7.807656967274859, 0.014568418539052896, 0.009065829454649704, 0.004645884753144727, 0.2510013002407923, 0.006256629440416609]","[2.4638712562825553, 0.009074879274064437, -0.0017420814443993068, 0.0046456457246826606, 0.2510013002407923, 0.006256726147280469]"
64,5,125,1,"[7.09175649381077, 0.012527750512141047, 0.01148796500011574, 0.0038949327579545926, 0.15890522537391885, 0.006638634429142369]","[2.8159351833065185, 0.007160294920622784, 0.003008946548279153, 0.0038948542631280225, 0.15890522537391882, 0.006638670722639989]"
65,5,125,1,"[6.735009842909911, 0.013694674033479345, 0.012541989615126167, 0.004243112923240343, 0.22074825495625966, 0.0088854091093178]","[2.74414719505758, 0.006814807937903126, 0.004193058187273849, 0.004242980024935354, 0.22074825495625958, 0.008885461958322582]"
66,5,125,1,"[5.06764462225274, 0.01438537062699836, 0.009198071037071364, 0.004791050828072182, 0.15678164729955132, 0.006574747529599949]","[2.724338622581891, 0.0071047874342747, 0.0035329732528184624, 0.0047907609570289715, 0.15678164729955135, 0.006574859792259371]"
67,5,125,1,"[6.082480558654848, 0.013883290349921985, 0.011227043475072477, 0.004380396954456852, 0.19526531750632609, 0.006233072192518795]","[2.7355561071714343, 0.006953661961628152, 0.00385447322506657, 0.004380232191973289, 0.19526531750632609, 0.006233142413796073]"
68,5,125,1,"[7.261964461907834, 0.014014812568151909, 0.013957279082816503, 0.004914638032349032, 0.2151902188283326, 0.006905060618310467]","[2.737315697454973, 0.006596700226601704, 0.0048178840061312445, 0.004914297839722873, 0.21519021882833259, 0.006905187686257225]"
69,5,125,1,"[7.320651315159269, 0.014790102206245978, 0.014367294695744461, 0.004009171437723714, 0.2446038508341148, 0.007973273185559543]","[2.6425519874470327, 0.006650101941374384, 0.004773169567734867, 0.004009077953375181, 0.24460385083411482, 0.007973313604027619]"
70,5,125,1,"[5.112011947418128, 0.011810366116229369, 0.009383867625846965, 0.00467378094472021, 0.2190415450698498, 0.007964917622395536]","[2.8435922296310983, 0.006672772619349988, 0.004176420619719324, 0.004673535000187191, 0.2190415450698497, 0.007965010239160464]"
71,5,125,1,"[5.811291028589626, 0.011780664787465254, 0.014384425173421735, 0.005061573403430123, 0.2263612790686893, 0.006193450803077017]","[2.455232715852221, 0.005866503794967563, 0.006386188409113168, 0.005061161536999356, 0.22636127906868928, 0.00619360436401667]"
72,5,125,1,"[5.562174991659607, 0.014737669291315418, 0.008722695642651065, 0.004737455629799289, 0.21123167702837858, 0.009408715970443602]","[2.7966762347038157, 0.007550735063794094, 0.0024039891975572492, 0.004737189769961329, 0.21123167702837864, 0.009408809008717718]"
73,5,125,1,"[6.567654942326609, 0.009613262711286014, 0.01432603871176114, 0.003826808382297846, 0.2534613505293681, 0.006750308758901541]","[2.5994663423452833, 0.005812538827633148, 0.005826234725997303, 0.0038267381229642916, 0.2534613505293681, 0.006750341652599632]"
74,5,125,1,"[6.608282533433615, 0.01123726748154433, 0.011997046197459192, 0.00513475061848168, 0.1795660325545237, 0.007336910627821292]","[2.8947965921585714, 0.00649916819808613, 0.004480509815473272, 0.005134302234604081, 0.17956603255452366, 0.007337067778765797]"
75,5,125,1,"[7.768785742706391, 0.010132035847817295, 0.009645594847189506, 0.004183760613397157, 0.2481887911451675, 0.009347169148628622]","[3.310862150668031, 0.007147941556563072, 0.0019984116179277162, 0.00418363928379089, 0.24818879114516745, 0.009347217177805133]"
76,5,125,1,"[5.610971083742504, 0.010981856199551453, 0.01369632056709386, 0.004966442900351172, 0.23576107764967952, 0.005818386162665411]","[2.5075621502829892, 0.005828032927942198, 0.006293505348980184, 0.00496607708616386, 0.23576107764967943, 0.005818527210189591]"
77,5,125,1,"[7.0751345518035205, 0.01275170831951827, 0.012645537008410455, 0.00585427083675415, 0.22832170726129183, 0.007606442251868119]","[2.963704298650829, 0.006593932598311067, 0.004613695003378154, 0.005853235125051933, 0.2283217072612918, 0.007606751022513714]"
78,5,125,1,"[6.008351887929902, 0.013310664699186518, 0.009052600762367472, 0.005463610136697537, 0.1553267456859388, 0.009014069332346306]","[2.8826725642916067, 0.007473129438818161, 0.002350802838959359, 0.005462950017566696, 0.15532674568593885, 0.009014269531260166]"
79,5,125,1,"[6.2582601613308375, 0.013219336299811077, 0.014041026288343837, 0.005390179147665885, 0.2208865837306619, 0.006598959235233445]","[2.6238936083284012, 0.006133962440481885, 0.005929688899147716, 0.005389565486632414, 0.22088658373066192, 0.006599169811404437]"
80,5,125,1,"[7.342682288818149, 0.011540757594851738, 0.014216037814652678, 0.0049470523518531425, 0.1588005459927015, 0.006734921662674085]","[2.719042832243478, 0.006341284782755442, 0.005014046863728697, 0.004946697400913347, 0.15880054599270152, 0.006735054040745018]"
81,5,125,1,"[7.047864846656147, 0.010035478948018138, 0.014394401857537206, 0.0040336552500581, 0.21444502565610368, 0.007737317595906724]","[2.6621930568636945, 0.006009174618795963, 0.005434298574717558, 0.004033558010678353, 0.21444502565610365, 0.007737359745217459]"
82,5,125,1,"[7.9519855068753404, 0.012186357186428128, 0.01402510836324842, 0.004767267673554709, 0.18520716725517086, 0.008142754395510383]","[2.8252281058371715, 0.006619282186235738, 0.004413931823355289, 0.004766989151583626, 0.18520716725517078, 0.008142856414790308]"
83,5,125,1,"[6.799025909714091, 0.013662048392068426, 0.009306951438729047, 0.005810238553286986, 0.17688750785634344, 0.009480885875604387]","[2.8446062582065195, 0.007905933333302924, 0.001249390792841631, 0.005809262185116975, 0.17688750785634344, 0.009481153858079811]"
84,5,125,1,"[6.230188057293438, 0.013293824466636371, 0.010925705636070187, 0.004135533646542672, 0.21977766403030577, 0.009145059421132811]","[2.801121577096929, 0.007017410882125018, 0.0035798920279123824, 0.004135420745854024, 0.21977766403030566, 0.009145104892573594]"
85,5,125,1,"[5.349280987380378, 0.009341176245475903, 0.009864101008971568, 0.0043791866007456305, 0.20526984460017184, 0.007036416969104569]","[2.92724835227809, 0.006177202468282374, 0.004578365009026573, 0.00437902282674206, 0.20526984460017184, 0.007036484821161746]"
86,5,125,1,"[7.941575144241994, 0.014681461125226376, 0.009509086327544925, 0.004425127050151094, 0.1731405487628274, 0.007556186203499218]","[2.5558886725357564, 0.008854598273514296, -0.0011117781241690627, 0.0044249526344511654, 0.17314054876282736, 0.007556256363823011]"
87,5,125,1,"[6.166419016872244, 0.01440138676331882, 0.009907749751924558, 0.005203862164283693, 0.22895725706910242, 0.009144025246159744]","[2.8661506988834478, 0.007369903065647104, 0.002831526464512711, 0.00520337863107107, 0.2289572570691024, 0.009144179916140645]"
88,5,125,1,"[6.367673307443757, 0.014019124751357935, 0.013332503009986237, 0.004366637660170938, 0.2330548395855973, 0.00691372597281362]","[2.6288380256444843, 0.006500223340296623, 0.005073990685586306, 0.004366476699505912, 0.23305483958559742, 0.006913793183038074]"
89,5,125,1,"[6.089576589340137, 0.009672089038412301, 0.010113479173514807, 0.004627094076234592, 0.16685296345732656, 0.008737479153456327]","[3.050661170745767, 0.006431760285246051, 0.003979726012551209, 0.004626864284212824, 0.16685296345732656, 0.00873756374607867]"
90,5,125,1,"[5.810843063517317, 0.01301959772047493, 0.012417085086700284, 0.003734038232750565, 0.2391473705650402, 0.007015019140557688]","[2.5816164300373354, 0.006495781766562703, 0.0049310869693239565, 0.0037339780767012038, 0.23914737056504018, 0.00701504756374803]"
91,5,125,1,"[6.58119184017851, 0.01331193790599896, 0.012357514433199527, 0.005022314013377695, 0.16105243411343334, 0.007715821269505726]","[2.755220244803794, 0.00675756311642749, 0.004281716211022427, 0.005021925380904878, 0.1610524341134334, 0.0077159584854152785]"
92,5,125,1,"[5.6255710456044845, 0.013585087134982394, 0.01409142754736982, 0.004578751889490107, 0.22120840803368397, 0.007754419631513139]","[2.3910185749802664, 0.006101232295894534, 0.006069714131477057, 0.004578535681028824, 0.22120840803368402, 0.007754503369228048]"
93,5,125,1,"[6.835251049967553, 0.012286697393367818, 0.012334713231906323, 0.0056693523572322255, 0.1958215742777876, 0.008050435094997727]","[2.9219379069704865, 0.006591087700891719, 0.004520072660607234, 0.005668511515718795, 0.19582157427778762, 0.008050690373139397]"
94,5,125,1,"[6.739754393108725, 0.009723199795891981, 0.01130279367271314, 0.005275465862290159, 0.20743257750968264, 0.00945083908768752]","[3.1390744117447, 0.006284850651528423, 0.004456612977427893, 0.0052749392454169534, 0.2074325775096826, 0.00945100246149586]"
95,5,125,1,"[6.178104321037805, 0.014395619749077432, 0.011580725088983407, 0.00456062174247486, 0.22295520454878648, 0.006647834104822709]","[2.756001582574082, 0.006891496147273441, 0.004094022299498548, 0.004560409627202098, 0.22295520454878645, 0.006647920083605028]"
