sim_num,interval_range,taylor_n,L_num_real_solutions,L_pred_parameters,L_all_real_solutions,A_num_real_solutions,A_pred_parameters,A_all_real_solutions,sampled_parameters,offmul
32,0.1,8,4,"[6.965685391772087, 0.011312001453915387, 0.011927294246719245]","[[15.964003634816642, 0.017969425770740715, 0.0249799101074532], [37.18188366022789, 0.027687411429345443, 0.012081198147897114], [6.965685391772087, 0.011312001453915387, 0.011927294246719245], [0.12741034109839236, 0.08418163336244366, -0.0333172047872682]]",2,"[0.0051089266441742805, 0.007663670053317819]","[[0.0555393008781113, 0.39042322036419497], [0.0051089266441742805, 0.007663670053317819]]","[6.965685391771693, 0.01192729424671936, 0.011312001453915043, 0.0051089266602860565, 0.21917578514312022, 0.007663669811346526]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
32,0.1,9,1,"[6.965685391771563, 0.011312001453915406, 0.01192729424671603]","[[6.965685391771563, 0.011312001453915406, 0.01192729424671603]]",1,"[0.005108926659722618, 0.007663669803586598]","[[0.005108926659722618, 0.007663669803586598]]","[6.965685391771693, 0.01192729424671936, 0.011312001453915043, 0.0051089266602860565, 0.21917578514312022, 0.007663669811346526]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
32,0.1,10,4,"[6.965685391780549, 0.011312001453926987, 0.011927294246723931]","[[50.890171555629806, 0.030746327730346395, 0.012109352515594097], [0.07305074995802069, 0.093780219035588, -0.03932069854466229], [18.37943149019804, 0.01907829990250664, 0.027396055447364086], [6.965685391780549, 0.011312001453926987, 0.011927294246723931]]",2,"[0.005108926660255839, 0.0076636698118561376]","[[0.06286036236685691, 0.43855984902344164], [0.005108926660255839, 0.0076636698118561376]]","[6.965685391771693, 0.01192729424671936, 0.011312001453915043, 0.0051089266602860565, 0.21917578514312022, 0.007663669811346526]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
33,0.1,1,1,"[6.67947008891624, 0.010987447666341117, 0.011059317591258888]","[[6.67947008891624, 0.010987447666341117, 0.011059317591258888]]",1,"[0.00374746028453849, 0.009315123240901491]","[[0.00374746028453849, 0.009315123240901491]]","[6.752977101734071, 0.011173760742466413, 0.011109756431105256, 0.00499438104001412, 0.21968543916299882, 0.007949698662232132]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
33,0.1,2,4,"[6.7466312111609765, 0.01110097990278745, 0.011166955289169216]","[[1.412881897237859, 0.054678375938067764, -0.014599580543279023], [13.790539880461173, 0.019466489378540012, 0.010828620311180754], [6.7466312111609765, 0.01110097990278745, 0.011166955289169216], [10.63417314337554, 0.014831126004233653, 0.017650955309398336]]",2,,"[[0.03499191076398852, 0.1512672899211622], [0.004860231769308541, 0.00907224945471442]]","[6.752977101734071, 0.011173760742466413, 0.011109756431105256, 0.00499438104001412, 0.21968543916299882, 0.007949698662232132]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
33,0.1,3,1,"[6.75253684851083, 0.011109160793430625, 0.011173386215954303]","[[6.75253684851083, 0.011109160793430625, 0.011173386215954303]]",1,"[0.004981781376546759, 0.007894975099532364]","[[0.004981781376546759, 0.007894975099532364]]","[6.752977101734071, 0.011173760742466413, 0.011109756431105256, 0.00499438104001412, 0.21968543916299882, 0.007949698662232132]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
33,0.1,4,4,"[6.752953113982508, 0.011109723816087816, 0.011173743968580403]","[[6.752953113982508, 0.011109723816087816, 0.011173743968580403], [20.60163202308594, 0.022306280948303413, 0.011198989813687884], [12.607490716245973, 0.016022765202014375, 0.020191595744778197], [0.39206405095185565, 0.06872866816769131, -0.024395989506855984]]",2,"[0.0049930920033670325, 0.007962649477508651]","[[0.041169761133077395, 0.24793241494940185], [0.0049930920033670325, 0.007962649477508651]]","[6.752977101734071, 0.011173760742466413, 0.011109756431105256, 0.00499438104001412, 0.21968543916299882, 0.007949698662232132]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
33,0.1,5,1,"[6.752976031047925, 0.011109754962546193, 0.011173760116104025]","[[6.752976031047925, 0.011109754962546193, 0.011173760116104025]]",1,"[0.004994295297987295, 0.007949235343178557]","[[0.004994295297987295, 0.007949235343178557]]","[6.752977101734071, 0.011173760742466413, 0.011109756431105256, 0.00499438104001412, 0.21968543916299882, 0.007949698662232132]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
33,0.1,6,4,"[6.752977061229836, 0.011109756375098674, 0.011173760722404821]","[[28.935904615599714, 0.025394674054314788, 0.01129042528871329], [6.752977061229836, 0.011109756375098674, 0.011173760722404821], [0.15344538682097744, 0.08008127533151412, -0.032091692599106963], [14.736461642444159, 0.017218276385135154, 0.02262529484010255]]",2,"[0.0049943745737454515, 0.007949767730138653]","[[0.048296362729259405, 0.32902529993118657], [0.0049943745737454515, 0.007949767730138653]]","[6.752977101734071, 0.011173760742466413, 0.011109756431105256, 0.00499438104001412, 0.21968543916299882, 0.007949698662232132]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
33,0.1,7,1,"[6.752977100401002, 0.011109756429249473, 0.011173760741903295]","[[6.752977100401002, 0.011109756429249473, 0.011173760741903295]]",1,"[0.0049943807193905815, 0.007949696683651133]","[[0.0049943807193905815, 0.007949696683651133]]","[6.752977101734071, 0.011173760742466413, 0.011109756431105256, 0.00499438104001412, 0.21968543916299882, 0.007949698662232132]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
