param_set,taylor_degree,true_parameters,pred_parameters
3,6,"[6.64412188540617, 0.012095647598766843, 0.009783626094750548, 0.005856277445114107, 0.20873012586473091, 0.006249233620236737]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,7,"[6.64412188540617, 0.012095647598766843, 0.009783626094750548, 0.005856277445114107, 0.20873012586473091, 0.006249233620236737]","[3.28185615419891, 0.005088853236754095, 0.008435414336642738, 0.00469999892786997, 0.007629000544887018, 0.2055]"
4,1,"[7.075928920322707, 0.01164908551547381, 0.012030639743178397, 0.00403822588373339, 0.16886419210892775, 0.007850887766089968]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956895, 0.2055]"
4,2,"[7.075928920322707, 0.01164908551547381, 0.012030639743178397, 0.00403822588373339, 0.16886419210892775, 0.007850887766089968]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,3,"[7.075928920322707, 0.01164908551547381, 0.012030639743178397, 0.00403822588373339, 0.16886419210892775, 0.007850887766089968]","[2.5362836551084413, 0.002904890599537025, 0.0049806166357396755, 0.004668676974432707, 0.00763662933390223, 0.2055]"
4,4,"[7.075928920322707, 0.01164908551547381, 0.012030639743178397, 0.00403822588373339, 0.16886419210892775, 0.007850887766089968]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,5,"[7.075928920322707, 0.01164908551547381, 0.012030639743178397, 0.00403822588373339, 0.16886419210892775, 0.007850887766089968]","[2.8818906010301455, 0.003983890490143534, 0.006767306234727974, 0.004699744735363736, 0.007629096839143218, 0.2055]"
4,6,"[7.075928920322707, 0.01164908551547381, 0.012030639743178397, 0.00403822588373339, 0.16886419210892775, 0.007850887766089968]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,7,"[7.075928920322707, 0.01164908551547381, 0.012030639743178397, 0.00403822588373339, 0.16886419210892775, 0.007850887766089968]","[3.281856154198915, 0.005088853236754107, 0.008435414336642732, 0.00469999892786997, 0.007629000544887014, 0.2055]"
5,1,"[6.832043760583649, 0.014478609225387466, 0.008949544105300364, 0.004905842834693627, 0.21284186898088503, 0.009155066392337407]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956895, 0.2055]"
5,2,"[6.832043760583649, 0.014478609225387466, 0.008949544105300364, 0.004905842834693627, 0.21284186898088503, 0.009155066392337407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,3,"[6.832043760583649, 0.014478609225387466, 0.008949544105300364, 0.004905842834693627, 0.21284186898088503, 0.009155066392337407]","[2.536283655108441, 0.0029048905995370223, 0.004980616635739677, 0.004668676974432707, 0.00763662933390223, 0.2055]"
5,4,"[6.832043760583649, 0.014478609225387466, 0.008949544105300364, 0.004905842834693627, 0.21284186898088503, 0.009155066392337407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
