param_set,taylor_degree,true_parameters,pred_parameters
18,5,"[5.394226859570088, 0.013362253695971753, 0.011315605653764568, 0.005535758903256322, 0.20203379385119777, 0.008438521797038363]","[2.8818906010301477, 0.003983890490143538, 0.0067673062347279695, 0.004699744735363736, 0.007629096839143216, 0.2055]"
18,6,"[5.394226859570088, 0.013362253695971753, 0.011315605653764568, 0.005535758903256322, 0.20203379385119777, 0.008438521797038363]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,7,"[5.394226859570088, 0.013362253695971753, 0.011315605653764568, 0.005535758903256322, 0.20203379385119777, 0.008438521797038363]","[3.2818561541989126, 0.0050888532367541, 0.008435414336642738, 0.00469999892786997, 0.007629000544887015, 0.2055]"
19,1,"[6.234880205767066, 0.00954031758752486, 0.009303968532307832, 0.005713550151641683, 0.21983707905171854, 0.00887148929571263]","[2.289675739549111, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956891, 0.2055]"
19,2,"[6.234880205767066, 0.00954031758752486, 0.009303968532307832, 0.005713550151641683, 0.21983707905171854, 0.00887148929571263]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,3,"[6.234880205767066, 0.00954031758752486, 0.009303968532307832, 0.005713550151641683, 0.21983707905171854, 0.00887148929571263]","[2.5362836551084422, 0.002904890599537025, 0.004980616635739675, 0.0046686769744327065, 0.007636629333902235, 0.2055]"
19,4,"[6.234880205767066, 0.00954031758752486, 0.009303968532307832, 0.005713550151641683, 0.21983707905171854, 0.00887148929571263]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,5,"[6.234880205767066, 0.00954031758752486, 0.009303968532307832, 0.005713550151641683, 0.21983707905171854, 0.00887148929571263]","[2.881890601030145, 0.0039838904901435285, 0.006767306234727982, 0.004699744735363736, 0.007629096839143216, 0.2055]"
19,6,"[6.234880205767066, 0.00954031758752486, 0.009303968532307832, 0.005713550151641683, 0.21983707905171854, 0.00887148929571263]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,7,"[6.234880205767066, 0.00954031758752486, 0.009303968532307832, 0.005713550151641683, 0.21983707905171854, 0.00887148929571263]","[3.2818561541989144, 0.005088853236754108, 0.008435414336642732, 0.00469999892786997, 0.007629000544887018, 0.2055]"
20,1,"[6.287004156518837, 0.013380991653990494, 0.010012722240506599, 0.0052245961067789205, 0.20540958797314046, 0.008974224363070262]","[2.2896757395491107, 0.0018267801166781657, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956896, 0.2055]"
20,2,"[6.287004156518837, 0.013380991653990494, 0.010012722240506599, 0.0052245961067789205, 0.20540958797314046, 0.008974224363070262]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,3,"[6.287004156518837, 0.013380991653990494, 0.010012722240506599, 0.0052245961067789205, 0.20540958797314046, 0.008974224363070262]","[2.536283655108442, 0.0029048905995370253, 0.004980616635739675, 0.0046686769744327065, 0.007636629333902234, 0.2055]"
20,4,"[6.287004156518837, 0.013380991653990494, 0.010012722240506599, 0.0052245961067789205, 0.20540958797314046, 0.008974224363070262]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,5,"[6.287004156518837, 0.013380991653990494, 0.010012722240506599, 0.0052245961067789205, 0.20540958797314046, 0.008974224363070262]","[2.881890601030147, 0.003983890490143535, 0.006767306234727973, 0.004699744735363736, 0.007629096839143217, 0.2055]"
20,6,"[6.287004156518837, 0.013380991653990494, 0.010012722240506599, 0.0052245961067789205, 0.20540958797314046, 0.008974224363070262]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,7,"[6.287004156518837, 0.013380991653990494, 0.010012722240506599, 0.0052245961067789205, 0.20540958797314046, 0.008974224363070262]","[3.2818561541989224, 0.005088853236754132, 0.00843541433664272, 0.00469999892786997, 0.007629000544887014, 0.2055]"
21,1,"[5.386170247339057, 0.011367131713543869, 0.014270026554174762, 0.004715432965495525, 0.24630766297574, 0.007624543156715975]","[2.289675739549111, 0.0018267801166781668, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956895, 0.2055]"
21,2,"[5.386170247339057, 0.011367131713543869, 0.014270026554174762, 0.004715432965495525, 0.24630766297574, 0.007624543156715975]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,3,"[5.386170247339057, 0.011367131713543869, 0.014270026554174762, 0.004715432965495525, 0.24630766297574, 0.007624543156715975]","[2.5362836551084404, 0.002904890599537024, 0.004980616635739674, 0.004668676974432707, 0.007636629333902228, 0.2055]"
21,4,"[5.386170247339057, 0.011367131713543869, 0.014270026554174762, 0.004715432965495525, 0.24630766297574, 0.007624543156715975]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,5,"[5.386170247339057, 0.011367131713543869, 0.014270026554174762, 0.004715432965495525, 0.24630766297574, 0.007624543156715975]","[2.881890601030146, 0.003983890490143533, 0.006767306234727978, 0.004699744735363735, 0.007629096839143221, 0.2055]"
21,6,"[5.386170247339057, 0.011367131713543869, 0.014270026554174762, 0.004715432965495525, 0.24630766297574, 0.007624543156715975]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,7,"[5.386170247339057, 0.011367131713543869, 0.014270026554174762, 0.004715432965495525, 0.24630766297574, 0.007624543156715975]","[3.281856154198913, 0.0050888532367541015, 0.008435414336642742, 0.00469999892786997, 0.007629000544887018, 0.2055]"
22,1,"[5.6382188314101995, 0.013417846901000906, 0.011048226575605152, 0.004168743147305232, 0.25625175281564794, 0.00830601860061843]","[2.2896757395491107, 0.001826780116678166, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956897, 0.2055]"
22,2,"[5.6382188314101995, 0.013417846901000906, 0.011048226575605152, 0.004168743147305232, 0.25625175281564794, 0.00830601860061843]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,3,"[5.6382188314101995, 0.013417846901000906, 0.011048226575605152, 0.004168743147305232, 0.25625175281564794, 0.00830601860061843]","[2.536283655108441, 0.0029048905995370244, 0.004980616635739673, 0.0046686769744327065, 0.0076366293339022355, 0.2055]"
22,4,"[5.6382188314101995, 0.013417846901000906, 0.011048226575605152, 0.004168743147305232, 0.25625175281564794, 0.00830601860061843]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,5,"[5.6382188314101995, 0.013417846901000906, 0.011048226575605152, 0.004168743147305232, 0.25625175281564794, 0.00830601860061843]","[2.881890601030146, 0.003983890490143529, 0.006767306234727975, 0.004699744735363736, 0.007629096839143216, 0.2055]"
22,6,"[5.6382188314101995, 0.013417846901000906, 0.011048226575605152, 0.004168743147305232, 0.25625175281564794, 0.00830601860061843]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,7,"[5.6382188314101995, 0.013417846901000906, 0.011048226575605152, 0.004168743147305232, 0.25625175281564794, 0.00830601860061843]","[3.2818561541989126, 0.005088853236754101, 0.008435414336642732, 0.00469999892786997, 0.007629000544887018, 0.2055]"
23,1,"[8.001773351738567, 0.012877115848204881, 0.012394066101796998, 0.004473372479931929, 0.1611477207184041, 0.007599362989337667]","[2.289675739549111, 0.0018267801166781665, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956896, 0.2055]"
23,2,"[8.001773351738567, 0.012877115848204881, 0.012394066101796998, 0.004473372479931929, 0.1611477207184041, 0.007599362989337667]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,3,"[8.001773351738567, 0.012877115848204881, 0.012394066101796998, 0.004473372479931929, 0.1611477207184041, 0.007599362989337667]","[2.5362836551084404, 0.002904890599537024, 0.004980616635739676, 0.0046686769744327065, 0.007636629333902233, 0.2055]"
23,4,"[8.001773351738567, 0.012877115848204881, 0.012394066101796998, 0.004473372479931929, 0.1611477207184041, 0.007599362989337667]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,5,"[8.001773351738567, 0.012877115848204881, 0.012394066101796998, 0.004473372479931929, 0.1611477207184041, 0.007599362989337667]","[2.8818906010301473, 0.003983890490143536, 0.006767306234727979, 0.004699744735363736, 0.007629096839143214, 0.2055]"
23,6,"[8.001773351738567, 0.012877115848204881, 0.012394066101796998, 0.004473372479931929, 0.1611477207184041, 0.007599362989337667]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,7,"[8.001773351738567, 0.012877115848204881, 0.012394066101796998, 0.004473372479931929, 0.1611477207184041, 0.007599362989337667]","[3.281856154198922, 0.005088853236754134, 0.00843541433664272, 0.00469999892786997, 0.007629000544887014, 0.2055]"
24,1,"[7.925588594422784, 0.011245537116623499, 0.010403235903702996, 0.005456128402837468, 0.15716262520506805, 0.007767468507901542]","[2.2896757395491107, 0.0018267801166781663, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956896, 0.2055]"
24,2,"[7.925588594422784, 0.011245537116623499, 0.010403235903702996, 0.005456128402837468, 0.15716262520506805, 0.007767468507901542]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,3,"[7.925588594422784, 0.011245537116623499, 0.010403235903702996, 0.005456128402837468, 0.15716262520506805, 0.007767468507901542]","[2.536283655108441, 0.002904890599537024, 0.004980616635739675, 0.004668676974432707, 0.007636629333902228, 0.2055]"
24,4,"[7.925588594422784, 0.011245537116623499, 0.010403235903702996, 0.005456128402837468, 0.15716262520506805, 0.007767468507901542]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,5,"[7.925588594422784, 0.011245537116623499, 0.010403235903702996, 0.005456128402837468, 0.15716262520506805, 0.007767468507901542]","[2.881890601030147, 0.0039838904901435355, 0.006767306234727975, 0.004699744735363736, 0.007629096839143217, 0.2055]"
24,6,"[7.925588594422784, 0.011245537116623499, 0.010403235903702996, 0.005456128402837468, 0.15716262520506805, 0.007767468507901542]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,7,"[7.925588594422784, 0.011245537116623499, 0.010403235903702996, 0.005456128402837468, 0.15716262520506805, 0.007767468507901542]","[3.2818561541989166, 0.005088853236754114, 0.008435414336642723, 0.00469999892786997, 0.007629000544887016, 0.2055]"
25,1,"[6.367817984801874, 0.00964618074352686, 0.01220563770592084, 0.005394576750771559, 0.20931333198973573, 0.009357416425773922]","[2.2896757395491107, 0.001826780116678167, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956894, 0.2055]"
25,2,"[6.367817984801874, 0.00964618074352686, 0.01220563770592084, 0.005394576750771559, 0.20931333198973573, 0.009357416425773922]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,3,"[6.367817984801874, 0.00964618074352686, 0.01220563770592084, 0.005394576750771559, 0.20931333198973573, 0.009357416425773922]","[2.536283655108441, 0.002904890599537024, 0.004980616635739675, 0.004668676974432707, 0.007636629333902227, 0.2055]"
25,4,"[6.367817984801874, 0.00964618074352686, 0.01220563770592084, 0.005394576750771559, 0.20931333198973573, 0.009357416425773922]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,5,"[6.367817984801874, 0.00964618074352686, 0.01220563770592084, 0.005394576750771559, 0.20931333198973573, 0.009357416425773922]","[2.8818906010301433, 0.003983890490143524, 0.006767306234727981, 0.004699744735363736, 0.007629096839143216, 0.2055]"
25,6,"[6.367817984801874, 0.00964618074352686, 0.01220563770592084, 0.005394576750771559, 0.20931333198973573, 0.009357416425773922]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,7,"[6.367817984801874, 0.00964618074352686, 0.01220563770592084, 0.005394576750771559, 0.20931333198973573, 0.009357416425773922]","[3.281856154198922, 0.005088853236754129, 0.008435414336642718, 0.00469999892786997, 0.007629000544887019, 0.2055]"
26,1,"[8.018600505625024, 0.009684040627229806, 0.009654228896822006, 0.004665623464792443, 0.22151778837715946, 0.007678602666476686]","[2.289675739549111, 0.0018267801166781665, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956891, 0.2055]"
26,2,"[8.018600505625024, 0.009684040627229806, 0.009654228896822006, 0.004665623464792443, 0.22151778837715946, 0.007678602666476686]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,3,"[8.018600505625024, 0.009684040627229806, 0.009654228896822006, 0.004665623464792443, 0.22151778837715946, 0.007678602666476686]","[2.536283655108442, 0.002904890599537025, 0.004980616635739673, 0.004668676974432707, 0.0076366293339022295, 0.2055]"
26,4,"[8.018600505625024, 0.009684040627229806, 0.009654228896822006, 0.004665623464792443, 0.22151778837715946, 0.007678602666476686]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,5,"[8.018600505625024, 0.009684040627229806, 0.009654228896822006, 0.004665623464792443, 0.22151778837715946, 0.007678602666476686]","[2.8818906010301464, 0.003983890490143534, 0.006767306234727976, 0.004699744735363736, 0.007629096839143215, 0.2055]"
26,6,"[8.018600505625024, 0.009684040627229806, 0.009654228896822006, 0.004665623464792443, 0.22151778837715946, 0.007678602666476686]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,7,"[8.018600505625024, 0.009684040627229806, 0.009654228896822006, 0.004665623464792443, 0.22151778837715946, 0.007678602666476686]","[3.2818561541989046, 0.0050888532367540755, 0.00843541433664275, 0.00469999892786997, 0.007629000544887015, 0.2055]"
27,1,"[6.44603786858101, 0.012622513820573946, 0.008773364207904756, 0.0057625050975541724, 0.1616566178568993, 0.007786618774906339]","[2.2896757395491107, 0.0018267801166781663, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956892, 0.2055]"
27,2,"[6.44603786858101, 0.012622513820573946, 0.008773364207904756, 0.0057625050975541724, 0.1616566178568993, 0.007786618774906339]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,3,"[6.44603786858101, 0.012622513820573946, 0.008773364207904756, 0.0057625050975541724, 0.1616566178568993, 0.007786618774906339]","[2.5362836551084422, 0.002904890599537025, 0.004980616635739675, 0.0046686769744327065, 0.007636629333902235, 0.2055]"
27,4,"[6.44603786858101, 0.012622513820573946, 0.008773364207904756, 0.0057625050975541724, 0.1616566178568993, 0.007786618774906339]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,5,"[6.44603786858101, 0.012622513820573946, 0.008773364207904756, 0.0057625050975541724, 0.1616566178568993, 0.007786618774906339]","[2.881890601030144, 0.003983890490143526, 0.0067673062347279765, 0.004699744735363735, 0.007629096839143225, 0.2055]"
27,6,"[6.44603786858101, 0.012622513820573946, 0.008773364207904756, 0.0057625050975541724, 0.1616566178568993, 0.007786618774906339]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,7,"[6.44603786858101, 0.012622513820573946, 0.008773364207904756, 0.0057625050975541724, 0.1616566178568993, 0.007786618774906339]","[3.281856154198922, 0.005088853236754131, 0.008435414336642718, 0.00469999892786997, 0.007629000544887015, 0.2055]"
28,1,"[5.438727835545353, 0.013227840460628476, 0.010434448570532821, 0.003896535963689212, 0.17303386362159265, 0.008901181439280738]","[2.289675739549111, 0.0018267801166781663, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956894, 0.2055]"
28,2,"[5.438727835545353, 0.013227840460628476, 0.010434448570532821, 0.003896535963689212, 0.17303386362159265, 0.008901181439280738]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,3,"[5.438727835545353, 0.013227840460628476, 0.010434448570532821, 0.003896535963689212, 0.17303386362159265, 0.008901181439280738]","[2.536283655108442, 0.0029048905995370257, 0.004980616635739674, 0.0046686769744327065, 0.007636629333902235, 0.2055]"
28,4,"[5.438727835545353, 0.013227840460628476, 0.010434448570532821, 0.003896535963689212, 0.17303386362159265, 0.008901181439280738]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,5,"[5.438727835545353, 0.013227840460628476, 0.010434448570532821, 0.003896535963689212, 0.17303386362159265, 0.008901181439280738]","[2.881890601030149, 0.003983890490143541, 0.006767306234727968, 0.004699744735363736, 0.007629096839143214, 0.2055]"
28,6,"[5.438727835545353, 0.013227840460628476, 0.010434448570532821, 0.003896535963689212, 0.17303386362159265, 0.008901181439280738]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,7,"[5.438727835545353, 0.013227840460628476, 0.010434448570532821, 0.003896535963689212, 0.17303386362159265, 0.008901181439280738]","[3.2818561541989157, 0.00508885323675411, 0.008435414336642732, 0.00469999892786997, 0.007629000544887018, 0.2055]"
29,1,"[6.788519297674259, 0.009444735900654928, 0.01056185097772285, 0.005163173505179669, 0.25080891498866664, 0.007996208701606623]","[2.2896757395491107, 0.001826780116678166, 0.003092507956477956, 0.0037303600957816307, 0.0077270861069568915, 0.2055]"
29,2,"[6.788519297674259, 0.009444735900654928, 0.01056185097772285, 0.005163173505179669, 0.25080891498866664, 0.007996208701606623]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29,3,"[6.788519297674259, 0.009444735900654928, 0.01056185097772285, 0.005163173505179669, 0.25080891498866664, 0.007996208701606623]","[2.536283655108442, 0.0029048905995370244, 0.004980616635739675, 0.0046686769744327065, 0.0076366293339022355, 0.2055]"
29,4,"[6.788519297674259, 0.009444735900654928, 0.01056185097772285, 0.005163173505179669, 0.25080891498866664, 0.007996208701606623]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29,5,"[6.788519297674259, 0.009444735900654928, 0.01056185097772285, 0.005163173505179669, 0.25080891498866664, 0.007996208701606623]","[2.8818906010301437, 0.003983890490143523, 0.006767306234727985, 0.004699744735363735, 0.007629096839143221, 0.2055]"
29,6,"[6.788519297674259, 0.009444735900654928, 0.01056185097772285, 0.005163173505179669, 0.25080891498866664, 0.007996208701606623]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29,7,"[6.788519297674259, 0.009444735900654928, 0.01056185097772285, 0.005163173505179669, 0.25080891498866664, 0.007996208701606623]","[3.2818561541989197, 0.005088853236754123, 0.008435414336642718, 0.00469999892786997, 0.007629000544887015, 0.2055]"
30,1,"[4.985687910279255, 0.013002273385915312, 0.01352934171108032, 0.003993914807747806, 0.18335087781799278, 0.00610188155713179]","[2.2896757395491107, 0.0018267801166781661, 0.003092507956477956, 0.0037303600957816307, 0.0077270861069568915, 0.2055]"
30,2,"[4.985687910279255, 0.013002273385915312, 0.01352934171108032, 0.003993914807747806, 0.18335087781799278, 0.00610188155713179]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,3,"[4.985687910279255, 0.013002273385915312, 0.01352934171108032, 0.003993914807747806, 0.18335087781799278, 0.00610188155713179]","[2.5362836551084404, 0.0029048905995370214, 0.004980616635739676, 0.004668676974432707, 0.007636629333902227, 0.2055]"
30,4,"[4.985687910279255, 0.013002273385915312, 0.01352934171108032, 0.003993914807747806, 0.18335087781799278, 0.00610188155713179]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,5,"[4.985687910279255, 0.013002273385915312, 0.01352934171108032, 0.003993914807747806, 0.18335087781799278, 0.00610188155713179]","[2.881890601030147, 0.0039838904901435355, 0.006767306234727972, 0.004699744735363736, 0.007629096839143217, 0.2055]"
30,6,"[4.985687910279255, 0.013002273385915312, 0.01352934171108032, 0.003993914807747806, 0.18335087781799278, 0.00610188155713179]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,7,"[4.985687910279255, 0.013002273385915312, 0.01352934171108032, 0.003993914807747806, 0.18335087781799278, 0.00610188155713179]","[3.28185615419892, 0.005088853236754122, 0.008435414336642718, 0.00469999892786997, 0.007629000544887017, 0.2055]"
31,1,"[6.586084774502138, 0.013785448515898486, 0.010609460614230891, 0.004199204707501699, 0.24611367074857318, 0.006749597145639042]","[2.289675739549111, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816307, 0.0077270861069568915, 0.2055]"
31,2,"[6.586084774502138, 0.013785448515898486, 0.010609460614230891, 0.004199204707501699, 0.24611367074857318, 0.006749597145639042]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,3,"[6.586084774502138, 0.013785448515898486, 0.010609460614230891, 0.004199204707501699, 0.24611367074857318, 0.006749597145639042]","[2.5362836551084422, 0.002904890599537026, 0.004980616635739672, 0.0046686769744327065, 0.007636629333902232, 0.2055]"
31,4,"[6.586084774502138, 0.013785448515898486, 0.010609460614230891, 0.004199204707501699, 0.24611367074857318, 0.006749597145639042]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,5,"[6.586084774502138, 0.013785448515898486, 0.010609460614230891, 0.004199204707501699, 0.24611367074857318, 0.006749597145639042]","[2.8818906010301455, 0.003983890490143532, 0.006767306234727974, 0.004699744735363736, 0.007629096839143215, 0.2055]"
31,6,"[6.586084774502138, 0.013785448515898486, 0.010609460614230891, 0.004199204707501699, 0.24611367074857318, 0.006749597145639042]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,7,"[6.586084774502138, 0.013785448515898486, 0.010609460614230891, 0.004199204707501699, 0.24611367074857318, 0.006749597145639042]","[3.2818561541989193, 0.005088853236754124, 0.008435414336642723, 0.00469999892786997, 0.007629000544887018, 0.2055]"
32,1,"[5.860418176369605, 0.012205755418416332, 0.008996662687808734, 0.0036781226615903518, 0.23829263221941532, 0.00811967526638931]","[2.289675739549111, 0.0018267801166781663, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956891, 0.2055]"
32,2,"[5.860418176369605, 0.012205755418416332, 0.008996662687808734, 0.0036781226615903518, 0.23829263221941532, 0.00811967526638931]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32,3,"[5.860418176369605, 0.012205755418416332, 0.008996662687808734, 0.0036781226615903518, 0.23829263221941532, 0.00811967526638931]","[2.5362836551084413, 0.002904890599537026, 0.004980616635739674, 0.0046686769744327065, 0.007636629333902232, 0.2055]"
32,4,"[5.860418176369605, 0.012205755418416332, 0.008996662687808734, 0.0036781226615903518, 0.23829263221941532, 0.00811967526638931]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32,5,"[5.860418176369605, 0.012205755418416332, 0.008996662687808734, 0.0036781226615903518, 0.23829263221941532, 0.00811967526638931]","[2.881890601030147, 0.003983890490143537, 0.006767306234727975, 0.004699744735363736, 0.007629096839143215, 0.2055]"
32,6,"[5.860418176369605, 0.012205755418416332, 0.008996662687808734, 0.0036781226615903518, 0.23829263221941532, 0.00811967526638931]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32,7,"[5.860418176369605, 0.012205755418416332, 0.008996662687808734, 0.0036781226615903518, 0.23829263221941532, 0.00811967526638931]","[3.2818561541989233, 0.005088853236754132, 0.008435414336642721, 0.00469999892786997, 0.007629000544887018, 0.2055]"
33,1,"[5.619640067695511, 0.014540769788282965, 0.00871981383894348, 0.0054473784462682725, 0.1909040127709288, 0.005987710205788962]","[2.289675739549111, 0.0018267801166781672, 0.0030925079564779545, 0.0037303600957816307, 0.007727086106956893, 0.2055]"
33,2,"[5.619640067695511, 0.014540769788282965, 0.00871981383894348, 0.0054473784462682725, 0.1909040127709288, 0.005987710205788962]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,3,"[5.619640067695511, 0.014540769788282965, 0.00871981383894348, 0.0054473784462682725, 0.1909040127709288, 0.005987710205788962]","[2.536283655108442, 0.002904890599537026, 0.004980616635739675, 0.0046686769744327065, 0.007636629333902235, 0.2055]"
33,4,"[5.619640067695511, 0.014540769788282965, 0.00871981383894348, 0.0054473784462682725, 0.1909040127709288, 0.005987710205788962]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,5,"[5.619640067695511, 0.014540769788282965, 0.00871981383894348, 0.0054473784462682725, 0.1909040127709288, 0.005987710205788962]","[2.8818906010301433, 0.003983890490143525, 0.006767306234727982, 0.004699744735363736, 0.007629096839143214, 0.2055]"
33,6,"[5.619640067695511, 0.014540769788282965, 0.00871981383894348, 0.0054473784462682725, 0.1909040127709288, 0.005987710205788962]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,7,"[5.619640067695511, 0.014540769788282965, 0.00871981383894348, 0.0054473784462682725, 0.1909040127709288, 0.005987710205788962]","[3.2818561541989153, 0.005088853236754109, 0.008435414336642732, 0.00469999892786997, 0.007629000544887019, 0.2055]"
34,1,"[7.187943400656396, 0.013902589153489903, 0.009051714189962728, 0.005406045126387728, 0.16026901104511843, 0.008899891762141694]","[2.2896757395491107, 0.0018267801166781663, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956896, 0.2055]"
34,2,"[7.187943400656396, 0.013902589153489903, 0.009051714189962728, 0.005406045126387728, 0.16026901104511843, 0.008899891762141694]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34,3,"[7.187943400656396, 0.013902589153489903, 0.009051714189962728, 0.005406045126387728, 0.16026901104511843, 0.008899891762141694]","[2.5362836551084413, 0.002904890599537022, 0.004980616635739677, 0.0046686769744327065, 0.007636629333902233, 0.2055]"
34,4,"[7.187943400656396, 0.013902589153489903, 0.009051714189962728, 0.005406045126387728, 0.16026901104511843, 0.008899891762141694]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34,5,"[7.187943400656396, 0.013902589153489903, 0.009051714189962728, 0.005406045126387728, 0.16026901104511843, 0.008899891762141694]","[2.8818906010301477, 0.003983890490143534, 0.006767306234727976, 0.004699744735363736, 0.007629096839143217, 0.2055]"
34,6,"[7.187943400656396, 0.013902589153489903, 0.009051714189962728, 0.005406045126387728, 0.16026901104511843, 0.008899891762141694]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34,7,"[7.187943400656396, 0.013902589153489903, 0.009051714189962728, 0.005406045126387728, 0.16026901104511843, 0.008899891762141694]","[3.281856154198918, 0.005088853236754118, 0.008435414336642726, 0.00469999892786997, 0.007629000544887018, 0.2055]"
35,1,"[7.473082027525164, 0.013832799139187685, 0.012331256108959838, 0.004120842963819646, 0.21184692074429762, 0.0094359924465452]","[2.2896757395491107, 0.0018267801166781672, 0.0030925079564779545, 0.0037303600957816303, 0.007727086106956894, 0.2055]"
35,2,"[7.473082027525164, 0.013832799139187685, 0.012331256108959838, 0.004120842963819646, 0.21184692074429762, 0.0094359924465452]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,3,"[7.473082027525164, 0.013832799139187685, 0.012331256108959838, 0.004120842963819646, 0.21184692074429762, 0.0094359924465452]","[2.536283655108441, 0.002904890599537023, 0.0049806166357396755, 0.004668676974432707, 0.007636629333902227, 0.2055]"
35,4,"[7.473082027525164, 0.013832799139187685, 0.012331256108959838, 0.004120842963819646, 0.21184692074429762, 0.0094359924465452]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,5,"[7.473082027525164, 0.013832799139187685, 0.012331256108959838, 0.004120842963819646, 0.21184692074429762, 0.0094359924465452]","[2.8818906010301477, 0.003983890490143542, 0.006767306234727971, 0.004699744735363736, 0.007629096839143216, 0.2055]"
35,6,"[7.473082027525164, 0.013832799139187685, 0.012331256108959838, 0.004120842963819646, 0.21184692074429762, 0.0094359924465452]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,7,"[7.473082027525164, 0.013832799139187685, 0.012331256108959838, 0.004120842963819646, 0.21184692074429762, 0.0094359924465452]","[3.2818561541989224, 0.005088853236754131, 0.008435414336642716, 0.00469999892786997, 0.00762900054488702, 0.2055]"
36,1,"[7.620988464129807, 0.011620881067121575, 0.014414260214755475, 0.005535052178340915, 0.19913854772931475, 0.0083039737407199]","[2.2896757395491107, 0.0018267801166781663, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956894, 0.2055]"
36,2,"[7.620988464129807, 0.011620881067121575, 0.014414260214755475, 0.005535052178340915, 0.19913854772931475, 0.0083039737407199]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
